state,district,enrolment_bin,risk_pathway,lifecycle_typology,demo_deviation,lifecycle_gap_score,total_update_ratio
Arunachal Pradesh,Kra Daadi,Low Enrolment,Stable / Monitor Zone,Healthy lifecycle engagement,1.0,0,70.1
Arunachal Pradesh,Kurung Kumey,Low Enrolment,Stable / Monitor Zone,Healthy lifecycle engagement,0.4698795180722891,0,123.64
Arunachal Pradesh,Leparada,Low Enrolment,Stable / Monitor Zone,Healthy lifecycle engagement,0.6626506024096385,0,27.0
Arunachal Pradesh,Lohit,Low Enrolment,Stable / Monitor Zone,Healthy lifecycle engagement,1.5191199580932424,0,91.71739130434784
Arunachal Pradesh,Longding,Medium Enrolment,Early Risk Zone (Preventive),Mixed or transitional pattern,0.0767376093071021,3,4.71076923076923
Arunachal Pradesh,Lower Dibang Valley,Low Enrolment,Stable / Monitor Zone,Healthy lifecycle engagement,1.2611737271667312,0,70.35483870967742
Arunachal Pradesh,Lower Siang,Low Enrolment,Stable / Monitor Zone,Healthy lifecycle engagement,0.8043940467753367,0,27.823529411764707
Arunachal Pradesh,Lower Subansiri,Low Enrolment,Stable / Monitor Zone,Healthy lifecycle engagement,1.0529072812991094,0,62.97826086956522
Arunachal Pradesh,Namsai,Low Enrolment,Stable / Monitor Zone,Healthy lifecycle engagement,1.6277354315220065,0,130.87755102040816
Arunachal Pradesh,Papum Pare,Low Enrolment,Stable / Monitor Zone,Healthy lifecycle engagement,1.1715693944609606,0,67.22727272727273
Arunachal Pradesh,Shi-yomi,Low Enrolment,Stable / Monitor Zone,Healthy lifecycle engagement,0.4706325301204819,0,30.625
Arunachal Pradesh,Siang,Low Enrolment,Stable / Monitor Zone,Healthy lifecycle engagement,1.2102957283680174,0,64.63636363636364
Arunachal Pradesh,Tawang,Low Enrolment,Stable / Monitor Zone,Healthy lifecycle engagement,0.719879518072289,0,52.25
Arunachal Pradesh,Tirap,Low Enrolment,Stable / Monitor Zone,Healthy lifecycle engagement,1.0757314974182444,0,50.25714285714286
Arunachal Pradesh,Upper Siang,Low Enrolment,Stable / Monitor Zone,Healthy lifecycle engagement,1.7399007795889438,0,105.05882352941175
Arunachal Pradesh,Upper Subansiri,Low Enrolment,Stable / Monitor Zone,Healthy lifecycle engagement,1.3370874803562074,0,97.1304347826087
Arunachal Pradesh,West Kameng,Low Enrolment,Stable / Monitor Zone,Healthy lifecycle engagement,0.3483163422922459,0,37.30769230769231
Arunachal Pradesh,West Siang,Low Enrolment,Stable / Monitor Zone,Healthy lifecycle engagement,1.7609462239200704,0,73.64634146341463
Assam,Bajali,Low Enrolment,Early Risk Zone (Preventive),"Low enrolment, weak engagement",2.068273092369478,2,35.416666666666664
Assam,Baksa,Medium Enrolment,Early Risk Zone (Preventive),"Child engagement strong, adult drop-off",0.2493536496509977,2,10.962721342031688
Assam,Barpeta,High Enrolment,Stable / Monitor Zone,"High enrolment, weak engagement",0.3294135686590814,1,10.907789293727962
Assam,Biswanath,Medium Enrolment,Stable / Monitor Zone,Healthy lifecycle engagement,0.5148034965878928,0,20.70290964777948
Assam,Bongaigaon,Medium Enrolment,Stable / Monitor Zone,Healthy lifecycle engagement,0.8893068450081977,0,32.41303048416019
Assam,Cachar,High Enrolment,Early Risk Zone (Preventive),"High enrolment, weak engagement",0.2189115168322679,2,6.517137014314929
Assam,Charaideo,Medium Enrolment,Early Risk Zone (Preventive),"Child engagement strong, adult drop-off",0.4555123665892985,2,18.359567901234566
Assam,Darrang,High Enrolment,Early Risk Zone (Preventive),"High enrolment, weak engagement",0.3478954654627821,2,8.934079918554339
Assam,Dhemaji,High Enrolment,Early Risk Zone (Preventive),"High enrolment, weak engagement",0.2233808891814025,2,5.473599678779362
Assam,Dhubri,High Enrolment,Stable / Monitor Zone,Healthy lifecycle engagement,0.6274199546277104,0,14.025660377358491
Assam,Dibrugarh,High Enrolment,Early Risk Zone (Preventive),"High enrolment, weak engagement",0.2420461470149363,2,7.133231823372668
Assam,Dima Hasao,Low Enrolment,Early Risk Zone (Preventive),"Low enrolment, weak engagement",0.0384799108327583,3,0.6916299559471366
Assam,Goalpara,High Enrolment,Early Risk Zone (Preventive),"High enrolment, weak engagement",0.3303467352008153,2,6.4846545454545454
Assam,Golaghat,High Enrolment,Early Risk Zone (Preventive),"High enrolment, weak engagement",0.1596998553040045,3,3.377344495072587
Assam,Hailakandi,High Enrolment,Stable / Monitor Zone,"High enrolment, weak engagement",0.2996920168598981,1,8.493932436864545
Assam,Hojai,High Enrolment,Stable / Monitor Zone,Healthy lifecycle engagement,0.276634243498213,0,7.396222498962225
Assam,Jorhat,High Enrolment,Early Risk Zone (Preventive),"High enrolment, weak engagement",0.3317338064416969,2,7.637651821862348
Assam,Kamrup,High Enrolment,Early Risk Zone (Preventive),"High enrolment, weak engagement",0.2264630751269573,2,6.122849861966447
Assam,Kamrup Metro,High Enrolment,Early Risk Zone (Preventive),"High enrolment, weak engagement",0.4178921976314295,2,11.370631514408338
Assam,Karbi Anglong,High Enrolment,Early Risk Zone (Preventive),"High enrolment, weak engagement",0.227271311566839,3,7.455314009661835
Assam,Karimganj,High Enrolment,Early Risk Zone (Preventive),"High enrolment, weak engagement",0.2016086837271583,3,5.0025099828864805
Assam,Kokrajhar,High Enrolment,Stable / Monitor Zone,"High enrolment, weak engagement",0.4174421086779339,1,12.915904936014623
Assam,Lakhimpur,High Enrolment,Stable / Monitor Zone,"High enrolment, weak engagement",0.4132053971248101,1,9.602692834322228
Assam,Majuli,Low Enrolment,Stable / Monitor Zone,Healthy lifecycle engagement,0.2827602545011506,0,12.289325842696629
Assam,Marigaon,High Enrolment,Stable / Monitor Zone,"High enrolment, weak engagement",0.3297093096866601,1,7.501199040767386
Assam,Nagaon,High Enrolment,Stable / Monitor Zone,Healthy lifecycle engagement,0.6585675832273288,0,18.71462863597854
Assam,Nalbari,Medium Enrolment,Stable / Monitor Zone,"Child engagement strong, adult drop-off",0.3477000740770189,1,14.59073774905762
Assam,North Cachar Hills,Medium Enrolment,Early Risk Zone (Preventive),"Child engagement strong, adult drop-off",0.1399694088780871,2,6.728083209509658
Assam,Sibsagar,Medium Enrolment,Early Risk Zone (Preventive),"Child engagement strong, adult drop-off",0.2190010965940677,2,9.794136807817589
Assam,Sonitpur,High Enrolment,Stable / Monitor Zone,"High enrolment, weak engagement",0.4872870599786152,1,10.527902790279027
Assam,South Salmara Mankachar,Medium Enrolment,Stable / Monitor Zone,"Child engagement strong, adult drop-off",1.061422735877254,1,24.87087912087912
Assam,Sribhumi,Low Enrolment,Capacity Pressure Zone,"Low enrolment, weak engagement",2.86930330015715,1,51.369565217391305
Assam,Tamulpur District,Low Enrolment,Stable / Monitor Zone,"Low enrolment, weak engagement",1.716867469879518,1,30.166666666666668
Assam,Tinsukia,High Enrolment,Early Risk Zone (Preventive),"High enrolment, weak engagement",0.2988268703323872,3,6.39295137580098
Assam,Udalguri,High Enrolment,Early Risk Zone (Preventive),"High enrolment, weak engagement",0.3736253238484045,2,10.429924242424242
Assam,West Karbi Anglong,Medium Enrolment,Early Risk Zone (Preventive),Mixed or transitional pattern,0.0267661168826855,3,1.8133333333333328
Bihar,Araria,High Enrolment,Stable / Monitor Zone,Healthy lifecycle engagement,1.396328037012736,0,38.51185326181
Bihar,Arwal,Medium Enrolment,Stable / Monitor Zone,Healthy lifecycle engagement,0.4775137669908643,0,23.469376391982184
Bihar,Aurangabad,High Enrolment,Stable / Monitor Zone,Healthy lifecycle engagement,1.637881572553076,0,42.13826650943396
Bihar,Aurangabad(BH),Low Enrolment,Stable / Monitor Zone,"Low enrolment, weak engagement",0.4216867469879518,1,10.0
Bihar,Aurangabad(bh),Low Enrolment,Stable / Monitor Zone,"Low enrolment, weak engagement",0.5512960934647682,1,12.787878787878787
Bihar,Banka,High Enrolment,Stable / Monitor Zone,Healthy lifecycle engagement,1.1769658468994737,0,31.867983137341916
Bihar,Begusarai,High Enrolment,Stable / Monitor Zone,Healthy lifecycle engagement,1.6581771780418966,0,48.67416806320325
Bihar,Bhabua,Low Enrolment,Stable / Monitor Zone,"Low enrolment, weak engagement",0.2925989672977624,1,5.857142857142857
Bihar,Bhagalpur,High Enrolment,Stable / Monitor Zone,Healthy lifecycle engagement,0.6658068781018736,0,17.365602390688895
Bihar,Bhojpur,High Enrolment,Stable / Monitor Zone,Healthy lifecycle engagement,1.7456572367490504,0,38.10040705563094
Bihar,Buxar,Medium Enrolment,Stable / Monitor Zone,Healthy lifecycle engagement,1.175968102232267,0,47.08210526315789
Bihar,Darbhanga,High Enrolment,Stable / Monitor Zone,Healthy lifecycle engagement,1.4821718216797888,0,49.33828720044585
Bihar,East Champaran,High Enrolment,Stable / Monitor Zone,Healthy lifecycle engagement,0.7902486563296621,0,20.41411042944785
Bihar,Gaya,High Enrolment,Stable / Monitor Zone,Healthy lifecycle engagement,0.7040761779228408,0,18.664069782927157
Bihar,Gopalganj,High Enrolment,Stable / Monitor Zone,Healthy lifecycle engagement,0.62035986877556,0,17.22651674865308
Bihar,Jamui,High Enrolment,Stable / Monitor Zone,Healthy lifecycle engagement,0.6342179095897791,0,19.113734679163663
Bihar,Jehanabad,Medium Enrolment,Stable / Monitor Zone,Healthy lifecycle engagement,0.7794210081299926,0,31.14992109416097
Bihar,Kaimur (Bhabua),High Enrolment,Stable / Monitor Zone,Healthy lifecycle engagement,0.7474443900232708,0,23.436148417937627
Bihar,Katihar,High Enrolment,Stable / Monitor Zone,Healthy lifecycle engagement,1.5904480640114258,0,47.85655126718569
Bihar,Kishanganj,High Enrolment,Capacity Pressure Zone,Healthy lifecycle engagement,3.2519105008456703,0,80.68003144654088
Bihar,Lakhisarai,High Enrolment,Stable / Monitor Zone,Healthy lifecycle engagement,0.6809744016745914,0,18.96177996177996
Bihar,Madhepura,High Enrolment,Stable / Monitor Zone,Healthy lifecycle engagement,1.6666064060455994,0,54.40791863421722
Bihar,Madhubani,High Enrolment,Stable / Monitor Zone,Healthy lifecycle engagement,0.7444334648185649,0,23.736685032139576
Bihar,Monghyr,Low Enrolment,Stable / Monitor Zone,"Low enrolment, weak engagement",0.4181431608788093,1,10.058823529411764
Bihar,Munger,High Enrolment,Stable / Monitor Zone,Healthy lifecycle engagement,0.993418969021822,0,25.388059701492537
Bihar,Muzaffarpur,High Enrolment,Stable / Monitor Zone,Healthy lifecycle engagement,0.6118966005990919,0,17.05616746439075
Bihar,Nalanda,High Enrolment,Stable / Monitor Zone,Healthy lifecycle engagement,1.1958680174241998,0,27.681001006759672
Bihar,Nawada,High Enrolment,Stable / Monitor Zone,"High enrolment, weak engagement",0.5821647581996284,1,16.391985138004248
Bihar,Pashchim Champaran,High Enrolment,Early Risk Zone (Preventive),"High enrolment, weak engagement",0.002682392076941,3,0.0438894727081659
Bihar,Patna,High Enrolment,Stable / Monitor Zone,Healthy lifecycle engagement,0.9639840077162188,0,25.00941679196012
Bihar,Purba Champaran,Low Enrolment,Stable / Monitor Zone,"Low enrolment, weak engagement",0.5771924908938076,1,12.604651162790695
Bihar,Purnea,Low Enrolment,Stable / Monitor Zone,Healthy lifecycle engagement,0.8914380927967187,0,57.712765957446805
Bihar,Purnia,High Enrolment,Stable / Monitor Zone,Healthy lifecycle engagement,0.8381885172475587,0,33.276363636363634
Bihar,Rohtas,High Enrolment,Capacity Pressure Zone,Healthy lifecycle engagement,2.3305380161935827,0,63.78311793214863
Bihar,Saharsa,High Enrolment,Stable / Monitor Zone,Healthy lifecycle engagement,0.7079903109563437,0,23.957719099303414
Bihar,Samastipur,High Enrolment,Stable / Monitor Zone,Healthy lifecycle engagement,1.6834063352254425,0,45.6820305200872
Bihar,Samstipur,Low Enrolment,Stable / Monitor Zone,"Low enrolment, weak engagement",0.382218529289572,1,10.20689655172414
Bihar,Saran,High Enrolment,Stable / Monitor Zone,Healthy lifecycle engagement,0.9243048508159668,0,23.1587037806398
Bihar,Sheikhpura,Medium Enrolment,Stable / Monitor Zone,Healthy lifecycle engagement,0.8393746400296477,0,49.18450560652396
Bihar,Sheikpura,Low Enrolment,Stable / Monitor Zone,"Low enrolment, weak engagement",0.4819277108433734,1,15.333333333333334
Bihar,Sheohar,Medium Enrolment,Stable / Monitor Zone,Healthy lifecycle engagement,1.0686997325581622,0,50.04139433551198
Bihar,Sitamarhi,High Enrolment,Early Risk Zone (Preventive),"High enrolment, weak engagement",0.2955713122021454,2,8.29298748109291
Bihar,Siwan,High Enrolment,Stable / Monitor Zone,Healthy lifecycle engagement,0.9987289027136702,0,28.05006501950585
Bihar,Supaul,High Enrolment,Stable / Monitor Zone,Healthy lifecycle engagement,1.9583151092890771,0,53.17945296864576
Bihar,Vaishali,High Enrolment,Stable / Monitor Zone,Healthy lifecycle engagement,1.394150204887576,0,39.59178498985801
Bihar,West Champaran,High Enrolment,Stable / Monitor Zone,Healthy lifecycle engagement,0.6535157589557627,0,15.227708262879045
Chandigarh,Chandigarh,Medium Enrolment,Capacity Pressure Zone,Healthy lifecycle engagement,3.965504797603199,0,150.99437570303712
Chhattisgarh,Balod,Medium Enrolment,Capacity Pressure Zone,Healthy lifecycle engagement,4.28357388981523,0,202.15471698113208
Chhattisgarh,Baloda Bazar,Medium Enrolment,Stable / Monitor Zone,Healthy lifecycle engagement,2.137721634142156,0,98.46858638743456
Chhattisgarh,Balrampur,High Enrolment,Stable / Monitor Zone,Healthy lifecycle engagement,1.1638379083426265,0,24.691014492753624
Chhattisgarh,Bastar,Medium Enrolment,Capacity Pressure Zone,Healthy lifecycle engagement,2.2487004537675674,0,106.16534040671972
Chhattisgarh,Bemetara,Medium Enrolment,Capacity Pressure Zone,Healthy lifecycle engagement,2.3451974056572986,0,144.28779395296752
Chhattisgarh,Bijapur,High Enrolment,Early Risk Zone (Preventive),"High enrolment, weak engagement",0.1668519772492099,2,7.253909158600149
Chhattisgarh,Bilaspur,High Enrolment,Capacity Pressure Zone,Healthy lifecycle engagement,2.3295611789761157,0,62.63028682547399
Chhattisgarh,Dakshin Bastar Dantewada,Low Enrolment,Stable / Monitor Zone,Healthy lifecycle engagement,0.8084971464806594,0,107.0657894736842
Chhattisgarh,Dantewada,Low Enrolment,Stable / Monitor Zone,Healthy lifecycle engagement,0.3663931086665502,0,80.31400966183575
Chhattisgarh,Dhamtari,Medium Enrolment,Capacity Pressure Zone,Healthy lifecycle engagement,2.59862889243239,0,161.18066561014265
Chhattisgarh,Durg,Medium Enrolment,Stable / Monitor Zone,Healthy lifecycle engagement,1.4680824140736242,0,101.73640600725012
Chhattisgarh,Gaurela-pendra-marwahi,Low Enrolment,Capacity Pressure Zone,Healthy lifecycle engagement,2.791654422568322,0,94.17073170731707
Chhattisgarh,Janjgir Champa,Low Enrolment,Stable / Monitor Zone,Healthy lifecycle engagement,0.71619812583668,0,21.88888888888889
Chhattisgarh,Janjgir-champa,Medium Enrolment,Capacity Pressure Zone,Healthy lifecycle engagement,2.609291530428324,0,138.3077922077922
Chhattisgarh,Jashpur,Medium Enrolment,Capacity Pressure Zone,Healthy lifecycle engagement,3.2242314409254336,0,135.1134663341646
Chhattisgarh,Kabeerdham,Low Enrolment,Capacity Pressure Zone,Healthy lifecycle engagement,4.64859437751004,0,166.65555555555557
Chhattisgarh,Kawardha,Medium Enrolment,Capacity Pressure Zone,Healthy lifecycle engagement,3.3557543983811624,0,129.0
Chhattisgarh,Khairagarh Chhuikhadan Gandai,Low Enrolment,Capacity Pressure Zone,Healthy lifecycle engagement,3.1179001721170394,0,65.22857142857143
Chhattisgarh,Kondagaon,Medium Enrolment,Capacity Pressure Zone,Healthy lifecycle engagement,2.7432866843703354,0,103.00911161731209
Chhattisgarh,Korba,Medium Enrolment,Capacity Pressure Zone,Healthy lifecycle engagement,2.8249312301104186,0,122.3800170794193
Chhattisgarh,Koriya,Medium Enrolment,Stable / Monitor Zone,Healthy lifecycle engagement,1.918107170137159,0,126.35984848484848
Chhattisgarh,Mahasamund,Medium Enrolment,Capacity Pressure Zone,Healthy lifecycle engagement,5.42444764954626,0,178.25255338904364
Chhattisgarh,Manendragarh–Chirmiri–Bharatpur,Low Enrolment,Stable / Monitor Zone,"Low enrolment, weak engagement",1.326639892904953,1,24.066666666666663
Chhattisgarh,Mohalla-Manpur-Ambagarh Chowki,Low Enrolment,Stable / Monitor Zone,Healthy lifecycle engagement,1.8524096385542168,0,37.75
Chhattisgarh,Mohla-Manpur-Ambagarh Chouki,Low Enrolment,Capacity Pressure Zone,Healthy lifecycle engagement,9.735256816740646,0,216.68421052631575
Chhattisgarh,Mungeli,Medium Enrolment,Capacity Pressure Zone,Healthy lifecycle engagement,2.9412176011456865,0,121.394261424017
Chhattisgarh,Narayanpur,Low Enrolment,Capacity Pressure Zone,Healthy lifecycle engagement,3.9420891111616263,0,152.02830188679246
Chhattisgarh,Raigarh,High Enrolment,Stable / Monitor Zone,Healthy lifecycle engagement,1.6337511572255805,0,66.02198607548553
Chhattisgarh,Raipur,High Enrolment,Capacity Pressure Zone,Healthy lifecycle engagement,3.491043488580808,0,97.11830876648564
Chhattisgarh,Rajnandgaon,Medium Enrolment,Capacity Pressure Zone,Healthy lifecycle engagement,4.783942479387281,0,188.73930269413628
Chhattisgarh,Sakti,Low Enrolment,Stable / Monitor Zone,Healthy lifecycle engagement,1.892026705548308,0,54.17834394904459
Chhattisgarh,Sarangarh-Bilaigarh,Low Enrolment,Capacity Pressure Zone,Healthy lifecycle engagement,6.500547645125958,0,125.06060606060606
Chhattisgarh,Sukma,Medium Enrolment,Stable / Monitor Zone,Healthy lifecycle engagement,0.2664164638083186,0,23.134645669291334
Chhattisgarh,Surajpur,Medium Enrolment,Stable / Monitor Zone,Healthy lifecycle engagement,1.5762933244556117,0,89.83042973286875
Chhattisgarh,Surguja,Medium Enrolment,Capacity Pressure Zone,Healthy lifecycle engagement,3.84417560938506,0,128.22401433691758
Chhattisgarh,Uttar Bastar Kanker,Low Enrolment,Stable / Monitor Zone,Healthy lifecycle engagement,1.78164713649117,0,135.86301369863014
Dadra & Nagar Haveli,Dadra & Nagar Haveli,Low Enrolment,Stable / Monitor Zone,Healthy lifecycle engagement,0.5805038335158816,0,46.72727272727273
Dadra and Nagar Haveli,Dadra and Nagar Haveli,Low Enrolment,Stable / Monitor Zone,Healthy lifecycle engagement,0.8955507067640641,0,100.3503937007874
Dadra and Nagar Haveli and Daman and Diu,Dadra and Nagar Haveli,Low Enrolment,Stable / Monitor Zone,Healthy lifecycle engagement,1.624428749480681,0,89.03448275862068
Dadra and Nagar Haveli and Daman and Diu,Daman,Low Enrolment,Capacity Pressure Zone,Healthy lifecycle engagement,4.216867469879518,0,101.46666666666668
Dadra and Nagar Haveli and Daman and Diu,Diu,Low Enrolment,Early Risk Zone (Preventive),"Low enrolment, weak engagement",1.3964950711938664,2,24.90909090909091
Daman and Diu,Daman,Low Enrolment,Capacity Pressure Zone,Healthy lifecycle engagement,2.6678141135972457,0,270.5
Daman and Diu,Diu,Low Enrolment,Stable / Monitor Zone,Healthy lifecycle engagement,0.6894243641231592,0,133.27777777777777
Delhi,Central Delhi,High Enrolment,Stable / Monitor Zone,Healthy lifecycle engagement,1.3896411994416182,0,34.56075898264029
Delhi,East Delhi,High Enrolment,Stable / Monitor Zone,Healthy lifecycle engagement,2.047364566981153,0,38.80295995356936
Delhi,Najafgarh,Low Enrolment,Stable / Monitor Zone,Healthy lifecycle engagement,0.4402224281742353,0,62.23076923076923
Delhi,New Delhi,Medium Enrolment,Early Risk Zone (Preventive),Mixed or transitional pattern,0.1016789204446857,3,4.45430463576159
Delhi,North East,Medium Enrolment,Stable / Monitor Zone,Healthy lifecycle engagement,0.6960360001328417,0,91.61714285714284
Delhi,North East Delhi,High Enrolment,Stable / Monitor Zone,Healthy lifecycle engagement,1.3096957440494412,0,29.97246558197747
Delhi,North West Delhi,High Enrolment,Capacity Pressure Zone,Healthy lifecycle engagement,3.037795048655747,0,71.71875822152066
Delhi,Shahdara,Medium Enrolment,Stable / Monitor Zone,Mixed or transitional pattern,0.8927854297854999,1,22.12358757062147
Delhi,South Delhi,High Enrolment,Capacity Pressure Zone,Healthy lifecycle engagement,2.4910091198480364,0,59.97613248904043
Delhi,South East Delhi,Low Enrolment,Stable / Monitor Zone,Healthy lifecycle engagement,1.3279203771608172,0,44.0
Delhi,South West Delhi,High Enrolment,Capacity Pressure Zone,Healthy lifecycle engagement,2.604944539912543,0,56.08403361344538
Delhi,West Delhi,High Enrolment,Stable / Monitor Zone,Healthy lifecycle engagement,1.1964578275006583,0,24.28514028403187
Goa,South Goa,Low Enrolment,Stable / Monitor Zone,Healthy lifecycle engagement,1.8004711152301514,0,110.33333333333331
Gujarat,Ahmadabad,High Enrolment,Early Risk Zone (Preventive),"High enrolment, weak engagement",0.0504163852895111,2,2.526150281363787
Gujarat,Ahmedabad,High Enrolment,Stable / Monitor Zone,Healthy lifecycle engagement,2.129096610086261,0,68.873273657289
