date,state,district,age_0_5,age_5_17,age_18_greater
2025-01-04,Jharkhand,Godda,79,46,11
2025-01-04,Jharkhand,Hazaribagh,169,65,14
2025-01-04,Jharkhand,Lohardaga,187,104,17
2025-01-04,Jharkhand,Pakur,579,372,11
2025-01-04,Jharkhand,Ranchi,552,481,87
2025-01-04,Karnataka,Bengaluru,5774,1026,1047
2025-01-04,Karnataka,Kalaburagi,560,31,17
2025-01-04,Karnataka,Mysuru,456,19,10
2025-01-04,Karnataka,Yadgir,536,89,21
2025-01-04,Madhya Pradesh,Alirajpur,134,105,15
2025-01-04,Madhya Pradesh,Ashok Nagar,342,139,50
2025-01-04,Madhya Pradesh,Barwani,497,313,10
2025-01-04,Madhya Pradesh,Betul,193,20,10
2025-01-04,Madhya Pradesh,Bhind,732,228,91
2025-01-04,Madhya Pradesh,Bhopal,316,47,20
2025-01-04,Madhya Pradesh,Burhanpur,547,155,100
2025-01-04,Madhya Pradesh,Chhatarpur,555,255,40
2025-01-04,Madhya Pradesh,Datia,237,55,10
2025-01-04,Madhya Pradesh,Dewas,427,65,10
2025-01-04,Madhya Pradesh,Dhar,396,116,107
2025-01-04,Madhya Pradesh,Guna,633,120,31
2025-01-04,Madhya Pradesh,Gwalior,855,370,113
2025-01-04,Madhya Pradesh,Indore,830,205,48
2025-01-04,Madhya Pradesh,Jabalpur,125,23,11
2025-01-04,Madhya Pradesh,Jhabua,466,372,48
2025-01-04,Madhya Pradesh,Katni,353,40,20
2025-01-04,Madhya Pradesh,Khandwa,271,133,16
2025-01-04,Madhya Pradesh,Khargone,695,188,52
2025-01-04,Madhya Pradesh,Morena,1027,459,82
2025-01-04,Madhya Pradesh,Panna,107,33,19
2025-01-04,Madhya Pradesh,Raisen,410,83,22
2025-01-04,Madhya Pradesh,Sagar,183,26,12
2025-01-04,Madhya Pradesh,Satna,368,55,14
2025-01-04,Madhya Pradesh,Sheopur,209,163,24
2025-01-04,Madhya Pradesh,Shivpuri,499,259,111
2025-01-04,Madhya Pradesh,Vidisha,670,119,42
2025-01-04,Maharashtra,Ahmadnagar,71,15,10
2025-01-04,Maharashtra,Aurangabad,584,154,53
2025-01-04,Maharashtra,Beed,379,52,19
2025-01-04,Maharashtra,Chandrapur,193,18,10
2025-01-04,Maharashtra,Hingoli,913,95,136
2025-01-04,Maharashtra,Jalgaon,360,53,10
2025-01-04,Maharashtra,Latur,229,42,23
2025-01-04,Maharashtra,Mumbai Suburban,389,109,44
2025-01-04,Maharashtra,Nagpur,468,50,48
2025-01-04,Maharashtra,Nanded,462,89,56
2025-01-04,Maharashtra,Nandurbar,237,35,10
2025-01-04,Maharashtra,Palghar,174,90,16
2025-01-04,Maharashtra,Parbhani,135,10,16
2025-01-04,Maharashtra,Pune,39,11,19
2025-01-04,Maharashtra,Raigad,242,72,21
2025-01-04,Maharashtra,Satara,192,26,18
2025-01-04,Maharashtra,Solapur,548,67,45
2025-01-04,Maharashtra,Thane,2371,913,150
2025-01-04,Manipur,Churachandpur,130,476,26
2025-01-04,Meghalaya,East Garo Hills,491,1124,293
2025-01-04,Meghalaya,East Jaintia Hills,434,765,283
2025-01-04,Meghalaya,East Khasi Hills,1437,4688,1673
2025-01-04,Meghalaya,North Garo Hills,205,1048,242
2025-01-04,Meghalaya,Ri Bhoi,319,1500,514
2025-01-04,Meghalaya,South Garo Hills,231,820,367
2025-01-04,Meghalaya,South West Garo Hills,991,610,174
2025-01-04,Meghalaya,South West Khasi Hills,241,535,212
2025-01-04,Meghalaya,West Garo Hills,1215,1761,727
2025-01-04,Meghalaya,West Jaintia Hills,712,1478,727
2025-01-04,Meghalaya,West Khasi Hills,896,2670,1129
2025-01-04,Mizoram,Champhai,275,76,17
2025-01-04,Nagaland,Chumukedima,16,57,13
2025-01-04,Nagaland,Dimapur,249,454,80
2025-01-04,Nagaland,Kohima,212,385,49
2025-01-04,Nagaland,Longleng,131,226,12
2025-01-04,Nagaland,Noklak,47,65,16
2025-01-04,Nagaland,Peren,201,331,12
2025-01-04,Nagaland,Phek,157,268,22
2025-01-04,Nagaland,Tuensang,173,296,34
2025-01-04,Odisha,Nabarangapur,182,82,12
2025-01-04,Punjab,Amritsar,959,209,54
2025-01-04,Punjab,Gurdaspur,233,36,49
2025-01-04,Punjab,Hoshiarpur,267,35,34
2025-01-04,Punjab,Kapurthala,302,65,305
2025-01-04,Punjab,Ludhiana,1841,734,184
2025-01-04,Punjab,SAS Nagar (Mohali),204,65,11
2025-01-04,Punjab,Sangrur,145,11,10
2025-01-04,Rajasthan,Ajmer,1007,196,36
2025-01-04,Rajasthan,Alwar,784,209,39
2025-01-04,Rajasthan,Baran,379,60,25
2025-01-04,Rajasthan,Bharatpur,240,37,10
2025-01-04,Rajasthan,Bikaner,552,261,16
2025-01-04,Rajasthan,Bundi,337,93,35
2025-01-04,Rajasthan,Churu,316,141,12
2025-01-04,Rajasthan,Dholpur,947,347,50
2025-01-04,Rajasthan,Dungarpur,66,83,13
2025-01-04,Rajasthan,Jaipur,2601,671,162
2025-01-04,Rajasthan,Jalor,1186,672,124
2025-01-04,Rajasthan,Jhalawar,112,49,12
2025-01-04,Rajasthan,Jodhpur,1624,565,87
2025-01-04,Rajasthan,Karauli,348,105,12
2025-01-04,Rajasthan,Kota,37,17,14
2025-01-04,Rajasthan,Nagaur,563,278,32
2025-01-04,Rajasthan,Pali,138,38,11
2025-01-04,Rajasthan,Sikar,251,62,22
2025-01-04,Rajasthan,Sirohi,349,210,67
2025-01-04,Rajasthan,Udaipur,70,47,15
2025-01-04,Sikkim,South Sikkim,15,23,11
2025-01-04,Sikkim,West Sikkim,52,65,10
2025-01-04,Tamil Nadu,Kancheepuram,229,75,24
2025-01-04,Tamil Nadu,Madurai,94,10,11
2025-01-04,Tamil Nadu,Thanjavur,35,10,11
2025-01-04,Telangana,Hyderabad,252,32,22
2025-01-04,Telangana,K.v. Rangareddy,159,25,28
2025-01-04,Telangana,Medchal-malkajgiri,76,25,15
2025-01-04,Tripura,Unakoti,19,16,15
2025-01-04,Tripura,West Tripura,146,65,25
2025-01-04,Uttar Pradesh,Agra,832,568,37
2025-01-04,Uttar Pradesh,Aligarh,1066,643,58
2025-01-04,Uttar Pradesh,Ambedkar Nagar,159,143,10
2025-01-04,Uttar Pradesh,Amroha,434,135,11
2025-01-04,Uttar Pradesh,Azamgarh,231,332,26
2025-01-04,Uttar Pradesh,Baghpat,311,224,18
2025-01-04,Uttar Pradesh,Bahraich,1748,1784,281
2025-01-04,Uttar Pradesh,Balrampur,429,642,32
2025-01-04,Uttar Pradesh,Banda,458,340,43
2025-01-04,Uttar Pradesh,Bara Banki,172,72,10
2025-01-04,Uttar Pradesh,Bareilly,3176,1025,63
2025-01-04,Uttar Pradesh,Basti,140,139,10
2025-01-04,Uttar Pradesh,Budaun,480,267,13
2025-01-04,Uttar Pradesh,Bulandshahr,612,527,49
2025-01-04,Uttar Pradesh,Chandauli,195,192,41
2025-01-04,Uttar Pradesh,Etah,724,354,13
2025-01-04,Uttar Pradesh,Etawah,348,226,16
2025-01-04,Uttar Pradesh,Fatehpur,166,136,10
2025-01-04,Uttar Pradesh,Gautam Buddha Nagar,1192,1186,113
2025-01-04,Uttar Pradesh,Gonda,392,260,50
2025-01-04,Uttar Pradesh,Gorakhpur,378,727,86
2025-01-04,Uttar Pradesh,Jalaun,221,102,26
2025-01-04,Uttar Pradesh,Jaunpur,662,800,64
2025-01-04,Uttar Pradesh,Kanpur Dehat,469,364,75
2025-01-04,Uttar Pradesh,Kanpur Nagar,1405,1363,222
2025-01-04,Uttar Pradesh,Kaushambi,133,109,25
2025-01-04,Uttar Pradesh,Kheri,523,548,31
2025-01-04,Uttar Pradesh,Lucknow,1235,1253,125
2025-01-04,Uttar Pradesh,Maharajganj,873,977,79
2025-01-04,Uttar Pradesh,Mainpuri,348,313,46
2025-01-04,Uttar Pradesh,Meerut,1370,650,33
2025-01-04,Uttar Pradesh,Moradabad,1519,510,15
2025-01-04,Uttar Pradesh,Muzaffarnagar,680,308,27
2025-01-04,Uttar Pradesh,Pilibhit,598,260,20
2025-01-04,Uttar Pradesh,Rampur,894,333,19
2025-01-04,Uttar Pradesh,Saharanpur,1499,533,29
2025-01-04,Uttar Pradesh,Shahjahanpur,1402,852,63
2025-01-04,Uttar Pradesh,Shamli,374,151,12
2025-01-04,Uttar Pradesh,Shrawasti,207,307,11
2025-01-04,Uttar Pradesh,Siddharthnagar,804,1006,68
2025-01-04,Uttar Pradesh,Sitapur,1928,1053,87
2025-01-04,Uttar Pradesh,Sultanpur,262,195,23
2025-01-04,Uttar Pradesh,Unnao,937,547,30
2025-01-04,Uttar Pradesh,Varanasi,527,733,81
2025-01-04,Uttarakhand,Dehradun,510,138,26
2025-01-04,Uttarakhand,Nainital,488,66,48
2025-01-04,West Bengal,Alipurduar,38,63,27
2025-01-04,West Bengal,Cooch Behar,297,156,32
2025-01-04,West Bengal,Darjeeling,383,200,75
2025-01-04,West Bengal,Jalpaiguri,194,62,36
2025-01-04,West Bengal,Jhargram,40,10,12
2025-01-04,West Bengal,Kolkata,21,10,23
2025-01-04,West Bengal,Malda,306,80,10
2025-01-04,West Bengal,Nadia,204,33,11
2025-01-04,West Bengal,North 24 Parganas,126,67,39
2025-01-04,West Bengal,Uttar Dinajpur,1264,333,116
2025-01-05,Assam,Baksa,37,25,20
2025-01-05,Assam,Barpeta,90,83,10
2025-01-05,Assam,Bongaigaon,110,41,15
2025-01-05,Assam,Charaideo,29,11,10
2025-01-05,Assam,Darrang,87,53,308
2025-01-05,Assam,Dhemaji,264,174,153
2025-01-05,Assam,Dibrugarh,140,95,149
2025-01-05,Assam,Goalpara,412,253,116
2025-01-05,Assam,Golaghat,807,826,230
2025-01-05,Assam,Jorhat,17,24,13
2025-01-05,Assam,Kamrup,813,580,264
2025-01-05,Assam,Kamrup Metro,67,42,53
2025-01-05,Assam,Karbi Anglong,446,1537,175
2025-01-05,Assam,Karimganj,286,282,193
2025-01-05,Assam,Kokrajhar,249,237,32
2025-01-05,Assam,Lakhimpur,404,216,127
2025-01-05,Assam,Marigaon,130,219,29
2025-01-05,Assam,Nalbari,134,75,37
2025-01-05,Assam,North Cachar Hills,25,39,13
2025-01-05,Assam,Sibsagar,95,43,87
2025-01-05,Assam,Sonitpur,55,160,38
2025-01-05,Assam,Tinsukia,213,216,171
2025-01-05,Assam,Udalguri,221,162,164
2025-01-05,Assam,West Karbi Anglong,39,216,11
2025-01-05,Bihar,Arwal,43,156,10
2025-01-05,Bihar,Bhagalpur,1500,1363,85
2025-01-05,Bihar,East Champaran,1445,2871,192
2025-01-05,Bihar,Gaya,452,1796,69
2025-01-05,Bihar,Gopalganj,385,495,27
2025-01-05,Bihar,Jamui,245,292,13
2025-01-05,Bihar,Kaimur (Bhabua),273,642,22
2025-01-05,Bihar,Katihar,270,215,10
2025-01-05,Bihar,Madhubani,874,995,102
2025-01-05,Bihar,Muzaffarpur,2161,2046,159
2025-01-05,Bihar,Patna,105,347,22
2025-01-05,Bihar,Saharsa,334,295,13
2025-01-05,Bihar,Sitamarhi,2961,2387,348
2025-01-05,Bihar,Siwan,269,384,12
2025-01-05,Bihar,West Champaran,1934,2875,157
2025-01-05,Chhattisgarh,Baloda Bazar,492,35,17
2025-01-05,Chhattisgarh,Bijapur,275,180,155
2025-01-05,Chhattisgarh,Sukma,178,55,19
2025-01-05,Delhi,Central Delhi,208,105,20
2025-01-05,Delhi,East Delhi,969,342,67
2025-01-05,Delhi,North West Delhi,368,251,25
2025-01-05,Delhi,Shahdara,66,47,20
2025-01-05,Delhi,South Delhi,217,88,28
2025-01-05,Delhi,South West Delhi,448,188,48
2025-01-05,Delhi,West Delhi,1411,493,172
2025-01-05,Gujarat,Ahmedabad,756,347,97
2025-01-05,Gujarat,Anand,111,22,10
2025-01-05,Gujarat,Banaskantha,1146,724,178
2025-01-05,Gujarat,Bharuch,303,69,23
2025-01-05,Gujarat,Chhotaudepur,127,61,28
2025-01-05,Gujarat,Dahod,710,717,653
2025-01-05,Gujarat,Devbhumi Dwarka,167,26,23
2025-01-05,Gujarat,Gandhinagar,251,28,16
2025-01-05,Gujarat,Gir Somnath,181,53,26
2025-01-05,Gujarat,Jamnagar,410,77,67
2025-01-05,Gujarat,Kachchh,59,79,12
2025-01-05,Gujarat,Kheda,89,18,33
2025-01-05,Gujarat,Mahesana,178,26,13
2025-01-05,Gujarat,Morbi,389,88,46
2025-01-05,Gujarat,Navsari,122,21,15
2025-01-05,Gujarat,Panchmahals,311,83,61
2025-01-05,Gujarat,Patan,225,53,25
2025-01-05,Gujarat,Rajkot,1375,312,221
2025-01-05,Gujarat,Sabarkantha,90,41,11
2025-01-05,Gujarat,Surat,1396,542,48
2025-01-05,Gujarat,The Dangs,174,49,38
2025-01-05,Gujarat,Vadodara,158,78,10
2025-01-05,Gujarat,Valsad,277,101,20
2025-01-05,Haryana,Faridabad,1358,311,32
2025-01-05,Haryana,Gurgaon,512,143,13
2025-01-05,Haryana,Mewat,1169,147,11
2025-01-05,Jammu and Kashmir,Baramula,136,39,12
2025-01-05,Jammu and Kashmir,Jammu,55,16,10
2025-01-05,Karnataka,Bangalore Rural,176,35,29
2025-01-05,Karnataka,Bengaluru,2659,1723,869
2025-01-05,Kerala,Kollam,34,12,10
2025-01-05,Kerala,Malappuram,135,121,10
2025-01-05,Kerala,Thiruvananthapuram,32,15,11
2025-01-05,Madhya Pradesh,Alirajpur,66,42,25
2025-01-05,Madhya Pradesh,Ashok Nagar,161,40,19
2025-01-05,Madhya Pradesh,Barwani,2114,1005,55
2025-01-05,Madhya Pradesh,Bhind,670,238,48
2025-01-05,Madhya Pradesh,Burhanpur,724,179,29
2025-01-05,Madhya Pradesh,Chhatarpur,394,313,30
2025-01-05,Madhya Pradesh,Dewas,518,87,17
2025-01-05,Madhya Pradesh,Gwalior,338,108,18
2025-01-05,Madhya Pradesh,Indore,519,111,18
2025-01-05,Madhya Pradesh,Jhabua,308,316,10
2025-01-05,Madhya Pradesh,Khandwa,47,21,10
2025-01-05,Madhya Pradesh,Khargone,304,131,13
2025-01-05,Madhya Pradesh,Morena,709,313,44
2025-01-05,Madhya Pradesh,Panna,140,71,13
2025-01-05,Madhya Pradesh,Vidisha,209,43,15
2025-01-05,Maharashtra,Beed,366,63,15
2025-01-05,Maharashtra,Dhule,118,46,18
2025-01-05,Maharashtra,Hingoli,246,31,34
2025-01-05,Maharashtra,Jalgaon,506,92,43
2025-01-05,Maharashtra,Mumbai Suburban,882,457,230
2025-01-05,Maharashtra,Nagpur,243,28,22
2025-01-05,Maharashtra,Nanded,383,80,39
2025-01-05,Maharashtra,Nandurbar,251,134,21
2025-01-05,Maharashtra,Nashik,97,14,45
2025-01-05,Maharashtra,Palghar,162,155,14
2025-01-05,Maharashtra,Parbhani,425,90,32
2025-01-05,Maharashtra,Pune,328,97,61
2025-01-05,Maharashtra,Sangli,160,45,20
2025-01-05,Maharashtra,Satara,150,32,10
2025-01-05,Maharashtra,Solapur,473,97,51
2025-01-05,Maharashtra,Thane,1437,799,96
2025-01-05,Maharashtra,Washim,198,20,10
2025-01-05,Maharashtra,Yavatmal,281,72,30
2025-01-05,Manipur,Bishnupur,76,79,30
2025-01-05,Manipur,Imphal West,44,37,25
2025-01-05,Meghalaya,East Garo Hills,180,448,267
2025-01-05,Meghalaya,East Jaintia Hills,125,248,256
2025-01-05,Meghalaya,East Khasi Hills,768,2259,1867
2025-01-05,Meghalaya,North Garo Hills,65,168,91
2025-01-05,Meghalaya,Ri Bhoi,243,733,633
2025-01-05,Meghalaya,South Garo Hills,105,388,192
2025-01-05,Meghalaya,South West Garo Hills,392,240,167
2025-01-05,Meghalaya,South West Khasi Hills,135,192,200
2025-01-05,Meghalaya,West Garo Hills,683,994,708
2025-01-05,Meghalaya,West Jaintia Hills,558,909,734
2025-01-05,Meghalaya,West Khasi Hills,406,1103,923
2025-01-05,Mizoram,Lawngtlai,280,62,29
2025-01-05,Mizoram,Lunglei,136,31,16
2025-01-05,Mizoram,Saiha,59,61,63
2025-01-05,Nagaland,Dimapur,155,207,22
2025-01-05,Nagaland,Peren,148,119,15
2025-01-05,Punjab,Amritsar,664,284,26
2025-01-05,Punjab,Gurdaspur,114,20,13
2025-01-05,Punjab,Hoshiarpur,197,48,18
2025-01-05,Punjab,Kapurthala,233,67,96
2025-01-05,Punjab,Ludhiana,876,458,49
2025-01-05,Punjab,Patiala,456,125,23
2025-01-05,Rajasthan,Alwar,610,179,10
2025-01-05,Rajasthan,Bikaner,421,164,20
2025-01-05,Rajasthan,Jaipur,120,70,10
2025-01-05,Rajasthan,Jodhpur,595,190,15
2025-01-05,Rajasthan,Sirohi,246,301,10
2025-01-05,Tamil Nadu,Coimbatore,59,19,11
2025-01-05,Tamil Nadu,Cuddalore,120,11,10
2025-01-05,Tamil Nadu,Pudukkottai,143,34,13
2025-01-05,Telangana,Hyderabad,736,154,21
2025-01-05,Uttar Pradesh,Agra,1550,967,60
2025-01-05,Uttar Pradesh,Aligarh,1564,1159,103
2025-01-05,Uttar Pradesh,Bahraich,1485,1891,193
2025-01-05,Uttar Pradesh,Banda,730,804,70
2025-01-05,Uttar Pradesh,Bareilly,1306,574,49
2025-01-05,Uttar Pradesh,Bijnor,1351,432,39
2025-01-05,Uttar Pradesh,Budaun,222,228,11
2025-01-05,Uttar Pradesh,Chandauli,214,191,14
2025-01-05,Uttar Pradesh,Deoria,384,503,20
2025-01-05,Uttar Pradesh,Etah,1092,457,48
2025-01-05,Uttar Pradesh,Fatehpur,274,224,11
2025-01-05,Uttar Pradesh,Gautam Buddha Nagar,867,915,52
2025-01-05,Uttar Pradesh,Ghaziabad,882,747,37
2025-01-05,Uttar Pradesh,Gorakhpur,129,352,41
2025-01-05,Uttar Pradesh,Hapur,681,450,11
2025-01-05,Uttar Pradesh,Hathras,478,319,11
2025-01-05,Uttar Pradesh,Kanpur Nagar,835,854,57
2025-01-05,Uttar Pradesh,Kheri,832,687,33
2025-01-05,Uttar Pradesh,Kushinagar,170,229,10
2025-01-05,Uttar Pradesh,Lalitpur,138,71,10
2025-01-05,Uttar Pradesh,Lucknow,608,560,48
2025-01-05,Uttar Pradesh,Maharajganj,500,791,40
2025-01-05,Uttar Pradesh,Meerut,1663,1146,38
2025-01-05,Uttar Pradesh,Moradabad,1673,793,79
2025-01-05,Uttar Pradesh,Pilibhit,1367,640,21
2025-01-05,Uttar Pradesh,Prayagraj,23,45,19
2025-01-05,Uttar Pradesh,Rampur,1304,700,27
2025-01-05,Uttar Pradesh,Shahjahanpur,1274,987,51
2025-01-05,Uttar Pradesh,Shrawasti,279,445,28
2025-01-05,Uttar Pradesh,Siddharthnagar,603,1073,47
2025-01-05,Uttar Pradesh,Sitapur,802,540,31
2025-01-05,Uttar Pradesh,Sultanpur,209,205,10
2025-01-05,Uttar Pradesh,Unnao,865,726,37
2025-01-05,Uttar Pradesh,Varanasi,574,849,23
2025-01-05,Uttarakhand,Dehradun,477,135,12
2025-01-05,West Bengal,Alipurduar,42,112,43
2025-01-05,West Bengal,Birbhum,204,61,13
2025-01-05,West Bengal,Cooch Behar,991,606,77
2025-01-05,West Bengal,Dakshin Dinajpur,179,42,14
2025-01-05,West Bengal,Darjeeling,297,223,78
2025-01-05,West Bengal,Jalpaiguri,493,413,74
2025-01-05,West Bengal,Kalimpong,12,39,27
2025-01-05,West Bengal,Kolkata,247,222,34
2025-01-05,West Bengal,Nadia,478,108,50
2025-01-05,West Bengal,North 24 Parganas,494,195,37
2025-01-05,West Bengal,Uttar Dinajpur,2101,1479,97
2025-01-06,Andhra Pradesh,Spsr Nellore,742,405,201
2025-01-06,Andhra Pradesh,Visakhapatanam,186,28,12
2025-01-06,Assam,Baksa,28,12,12
2025-01-06,Assam,Barpeta,699,376,104
2025-01-06,Assam,Bongaigaon,33,14,14
2025-01-06,Assam,Cachar,847,584,201
2025-01-06,Assam,Darrang,63,25,10
2025-01-06,Assam,Dhemaji,135,126,55
2025-01-06,Assam,Dhubri,323,198,24
2025-01-06,Assam,Dibrugarh,413,127,134
2025-01-06,Assam,Dima Hasao,33,28,10
2025-01-06,Assam,Goalpara,17,43,20
2025-01-06,Assam,Golaghat,561,502,202
2025-01-06,Assam,Hojai,277,76,11
2025-01-06,Assam,Jorhat,24,19,13
2025-01-06,Assam,Kamrup,133,51,23
2025-01-06,Assam,Kamrup Metro,55,54,65
2025-01-06,Assam,Karimganj,253,277,97
2025-01-06,Assam,Kokrajhar,155,115,17
2025-01-06,Assam,Lakhimpur,207,181,63
2025-01-06,Assam,Marigaon,412,250,118
2025-01-06,Assam,Nagaon,24,67,65
2025-01-06,Assam,Sivasagar,37,33,10
2025-01-06,Assam,Sonitpur,97,110,77
2025-01-06,Assam,West Karbi Anglong,52,133,110
2025-01-06,Bihar,Araria,850,787,39
2025-01-06,Bihar,Banka,397,542,36
2025-01-06,Bihar,Bhagalpur,1407,2293,150
2025-01-06,Bihar,Darbhanga,255,183,10
2025-01-06,Bihar,Gaya,515,1341,37
2025-01-06,Bihar,Gopalganj,577,1145,51
2025-01-06,Bihar,Jamui,323,426,23
2025-01-06,Bihar,Kaimur (Bhabua),165,536,10
2025-01-06,Bihar,Katihar,488,463,34
2025-01-06,Bihar,Lakhisarai,298,478,10
2025-01-06,Bihar,Madhubani,876,1379,170
2025-01-06,Bihar,Munger,117,279,10
2025-01-06,Bihar,Muzaffarpur,1562,2080,140
2025-01-06,Bihar,Nalanda,307,1153,37
2025-01-06,Bihar,Pashchim Champaran,1969,4299,239
2025-01-06,Bihar,Patna,320,1009,38
2025-01-06,Bihar,Purbi Champaran,1549,4314,335
2025-01-06,Bihar,Purnia,620,741,57
2025-01-06,Bihar,Saharsa,319,487,20
2025-01-06,Bihar,Saran,222,864,25
2025-01-06,Bihar,Sitamarhi,2839,3126,511
2025-01-06,Bihar,Siwan,185,298,21
2025-01-06,Chhattisgarh,Bijapur,205,254,173
2025-01-06,Chhattisgarh,Gaurella Pendra Marwahi,403,185,43
2025-01-06,Delhi,Central Delhi,134,49,11
2025-01-06,Delhi,East Delhi,660,299,26
2025-01-06,Delhi,New Delhi,212,100,51
2025-01-06,Delhi,North Delhi,332,244,22
2025-01-06,Delhi,North East Delhi,998,569,10
2025-01-06,Delhi,North West Delhi,588,184,26
2025-01-06,Delhi,South Delhi,619,249,43
2025-01-06,Delhi,South West Delhi,202,90,29
2025-01-06,Delhi,West Delhi,1582,587,245
2025-01-06,Gujarat,Ahmadabad,685,480,60
2025-01-06,Gujarat,Anand,148,57,24
2025-01-06,Gujarat,Banas Kantha,1459,1675,156
2025-01-06,Gujarat,Bhavnagar,189,39,11
2025-01-06,Gujarat,Botad,289,64,11
2025-01-06,Gujarat,Chhotaudepur,97,34,10
2025-01-06,Gujarat,Dang,222,72,70
2025-01-06,Gujarat,Dohad,1162,1835,191
