date,state,district,bio_age_5_17,bio_age_17_plus
2025-01-03,Gujarat,Devbhumi Dwarka,1829,932
2025-01-03,Gujarat,Dohad,192,1688
2025-01-03,Gujarat,Gandhinagar,4273,5905
2025-01-03,Gujarat,Gir Somnath,2574,1707
2025-01-03,Gujarat,Jamnagar,4794,5215
2025-01-03,Gujarat,Junagadh,3500,8433
2025-01-03,Gujarat,Kachchh,9380,6902
2025-01-03,Gujarat,Kheda,6929,10058
2025-01-03,Gujarat,Mahesana,5066,7773
2025-01-03,Gujarat,Mahisagar,1999,1808
2025-01-03,Gujarat,Morbi,2220,1289
2025-01-03,Gujarat,Narmada,2020,4588
2025-01-03,Gujarat,Navsari,2369,2679
2025-01-03,Gujarat,Panchmahals,3743,9258
2025-01-03,Gujarat,Patan,3086,4716
2025-01-03,Gujarat,Porbandar,1770,2266
2025-01-03,Gujarat,Rajkot,9086,10727
2025-01-03,Gujarat,Sabarkantha,4116,6512
2025-01-03,Gujarat,Surat,15243,18852
2025-01-03,Gujarat,Surendra Nagar,7191,7521
2025-01-03,Gujarat,Tapi,1872,3805
2025-01-03,Gujarat,The Dangs,1614,2487
2025-01-03,Gujarat,Vadodara,7894,17180
2025-01-03,Gujarat,Valsad,4860,6790
2025-01-03,Haryana,Ambala,2853,6773
2025-01-03,Haryana,Bhiwani,4091,8113
2025-01-03,Haryana,Charkhi Dadri,238,857
2025-01-03,Haryana,Faridabad,5798,8083
2025-01-03,Haryana,Fatehabad,3580,6150
2025-01-03,Haryana,Gurgaon,3789,4611
2025-01-03,Haryana,Hisar,4202,7560
2025-01-03,Haryana,Jhajjar,2471,3813
2025-01-03,Haryana,Jind,3562,7112
2025-01-03,Haryana,Kaithal,3091,6501
2025-01-03,Haryana,Karnal,3424,8201
2025-01-03,Haryana,Kurukshetra,2920,6507
2025-01-03,Haryana,Mahendragarh,1721,3292
2025-01-03,Haryana,Mewat,2592,2905
2025-01-03,Haryana,Palwal,2662,3033
2025-01-03,Haryana,Panchkula,1692,2763
2025-01-03,Haryana,Panipat,3293,6275
2025-01-03,Haryana,Rewari,2125,3098
2025-01-03,Haryana,Rohtak,2767,7186
2025-01-03,Haryana,Sirsa,4013,7036
2025-01-03,Haryana,Sonipat,3831,6795
2025-01-03,Haryana,Yamuna Nagar,3318,6573
2025-01-03,Haryana,Yamunanagar,14,90
2025-01-03,Himachal Pradesh,Bilaspur,1055,1907
2025-01-03,Himachal Pradesh,Chamba,1764,3313
2025-01-03,Himachal Pradesh,Hamirpur,1325,2008
2025-01-03,Himachal Pradesh,Kangra,5235,7358
2025-01-03,Himachal Pradesh,Kinnaur,145,250
2025-01-03,Himachal Pradesh,Kullu,1231,1459
2025-01-03,Himachal Pradesh,Mandi,3777,4936
2025-01-03,Himachal Pradesh,Shimla,2185,2872
2025-01-03,Himachal Pradesh,Sirmaur,2804,3382
2025-01-03,Himachal Pradesh,Solan,1705,2383
2025-01-03,Himachal Pradesh,Una,1841,2517
2025-01-03,Jammu and Kashmir,Anantnag,2053,3228
2025-01-03,Jammu and Kashmir,Badgam,439,1593
2025-01-03,Jammu and Kashmir,Bandipore,866,1736
2025-01-03,Jammu and Kashmir,Baramula,2703,5195
2025-01-03,Jammu and Kashmir,Budgam,1447,949
2025-01-03,Jammu and Kashmir,Doda,1793,2846
2025-01-03,Jammu and Kashmir,Ganderbal,668,1163
2025-01-03,Jammu and Kashmir,Jammu,3883,7915
2025-01-03,Jammu and Kashmir,Kargil,204,165
2025-01-03,Jammu and Kashmir,Kathua,1736,2985
2025-01-03,Jammu and Kashmir,Kishtwar,1049,1570
2025-01-03,Jammu and Kashmir,Kulgam,1420,2071
2025-01-03,Jammu and Kashmir,Kupwara,1999,3376
2025-01-03,Jammu and Kashmir,Leh,203,152
2025-01-03,Jammu and Kashmir,Pulwama,885,1881
2025-01-03,Jammu and Kashmir,Punch,2451,4790
2025-01-03,Jammu and Kashmir,Rajouri,2947,5630
2025-01-03,Jammu and Kashmir,Ramban,1146,1352
2025-01-03,Jammu and Kashmir,Reasi,1251,2395
2025-01-03,Jammu and Kashmir,Samba,529,825
2025-01-03,Jammu and Kashmir,Shupiyan,693,1169
2025-01-03,Jammu and Kashmir,Srinagar,1965,5087
2025-01-03,Jammu and Kashmir,Udhampur,3126,4770
2025-01-03,Jharkhand,Bokaro,3629,8264
2025-01-03,Jharkhand,Chatra,5091,7042
2025-01-03,Jharkhand,Deoghar,5230,5790
2025-01-03,Jharkhand,Dhanbad,7080,17070
2025-01-03,Jharkhand,Dumka,8376,6943
2025-01-03,Jharkhand,East Singhbhum,10278,11606
2025-01-03,Jharkhand,Garhwa,6945,10447
2025-01-03,Jharkhand,Garhwa *,77,822
2025-01-03,Jharkhand,Giridih,8203,10019
2025-01-03,Jharkhand,Godda,8171,6322
2025-01-03,Jharkhand,Gumla,3986,6975
2025-01-03,Jharkhand,Hazaribag,234,809
2025-01-03,Jharkhand,Hazaribagh,6244,5370
2025-01-03,Jharkhand,Jamtara,2625,3787
2025-01-03,Jharkhand,Khunti,2118,3257
2025-01-03,Jharkhand,Kodarma,224,599
2025-01-03,Jharkhand,Koderma,2935,3451
2025-01-03,Jharkhand,Latehar,4341,3293
2025-01-03,Jharkhand,Lohardaga,2355,4669
2025-01-03,Jharkhand,Pakaur,269,284
2025-01-03,Jharkhand,Pakur,4065,3049
2025-01-03,Jharkhand,Palamau,84,388
2025-01-03,Jharkhand,Palamu,9446,10392
2025-01-03,Jharkhand,Pashchimi Singhbhum,751,1529
2025-01-03,Jharkhand,Purbi Singhbhum,917,2737
2025-01-03,Jharkhand,Ramgarh,2636,2897
2025-01-03,Jharkhand,Ranchi,11510,23635
2025-01-03,Jharkhand,Sahebganj,6267,5248
2025-01-03,Jharkhand,Sahibganj,51,194
2025-01-03,Jharkhand,Seraikela-Kharsawan,4141,4263
2025-01-03,Jharkhand,Seraikela-kharsawan,600,1685
2025-01-03,Jharkhand,Simdega,2855,5188
2025-01-03,Jharkhand,West Singhbhum,11055,9473
2025-01-03,Karnataka,Bagalkot,5662,4800
2025-01-03,Karnataka,Bagalkot *,51,124
2025-01-03,Karnataka,Ballari,2984,1625
2025-01-03,Karnataka,Bangalore,4949,18641
2025-01-03,Karnataka,Bangalore Rural,1414,2087
2025-01-03,Karnataka,Belagavi,6453,3871
2025-01-03,Karnataka,Belgaum,6317,9227
2025-01-03,Karnataka,Bellary,3852,4871
2025-01-03,Karnataka,Bengaluru,14823,19747
2025-01-03,Karnataka,Bidar,3330,5333
2025-01-03,Karnataka,Bijapur,2876,4524
2025-01-03,Karnataka,Chamarajanagar,18,81
2025-01-03,Karnataka,Chamrajanagar,1057,1429
2025-01-03,Karnataka,Chamrajnagar,22,73
2025-01-03,Karnataka,Chickmagalur,600,2060
2025-01-03,Karnataka,Chikkaballapur,3015,2627
2025-01-03,Karnataka,Chikkamagaluru,827,880
2025-01-03,Karnataka,Chikmagalur,15,91
2025-01-03,Karnataka,Chitradurga,2547,4326
2025-01-03,Karnataka,Dakshina Kannada,2780,5479
2025-01-03,Karnataka,Davanagere,199,408
2025-01-03,Karnataka,Davangere,5081,6406
2025-01-03,Karnataka,Dharwad,6422,7178
2025-01-03,Karnataka,Gadag,3169,2227
2025-01-03,Karnataka,Gadag *,70,106
2025-01-03,Karnataka,Gulbarga,2358,5141
2025-01-03,Karnataka,Hasan,216,748
2025-01-03,Karnataka,Hassan,2862,2564
2025-01-03,Karnataka,Haveri,7079,3681
2025-01-03,Karnataka,Haveri *,83,114
2025-01-03,Karnataka,Kalaburagi,4847,3255
2025-01-03,Karnataka,Kodagu,677,1164
2025-01-03,Karnataka,Kolar,3153,4871
2025-01-03,Karnataka,Koppal,3016,3348
2025-01-03,Karnataka,Mandya,2412,4580
2025-01-03,Karnataka,Mysore,1431,4861
2025-01-03,Karnataka,Mysuru,2850,3420
2025-01-03,Karnataka,Raichur,4424,6106
2025-01-03,Karnataka,Ramanagar,1433,2586
2025-01-03,Karnataka,Shimoga,585,2034
2025-01-03,Karnataka,Shivamogga,1755,1463
2025-01-03,Karnataka,Tumakuru,2194,2246
2025-01-03,Karnataka,Tumkur,1797,5508
2025-01-03,Karnataka,Udupi,1579,1759
2025-01-03,Karnataka,Uttara Kannada,2057,2476
2025-01-03,Karnataka,Vijayanagara,854,1314
2025-01-03,Karnataka,Vijayapura,4798,2429
2025-01-03,Karnataka,Yadgir,3464,3419
2025-01-03,Karnataka,yadgir,81,283
2025-01-03,Kerala,Alappuzha,3226,6251
2025-01-03,Kerala,Ernakulam,5737,11380
2025-01-03,Kerala,Idukki,1958,3567
2025-01-03,Kerala,Kannur,4097,6968
2025-01-03,Kerala,Kasaragod,3272,3496
2025-01-03,Kerala,Kasargod,14,64
2025-01-03,Kerala,Kollam,4871,8548
2025-01-03,Kerala,Kottayam,2277,4982
2025-01-03,Kerala,Kozhikode,5544,7757
2025-01-03,Kerala,Malappuram,10776,12728
2025-01-03,Kerala,Palakkad,8738,11823
2025-01-03,Kerala,Pathanamthitta,1645,4606
2025-01-03,Kerala,Thiruvananthapuram,6652,11037
2025-01-03,Kerala,Thrissur,7177,9335
2025-01-03,Kerala,Wayanad,1262,2937
2025-01-03,Ladakh,Kargil,277,243
2025-01-03,Ladakh,Leh,181,255
2025-01-03,Lakshadweep,Lakshadweep,198,227
2025-01-03,Madhya Pradesh,Agar Malwa,619,1070
2025-01-03,Madhya Pradesh,Alirajpur,1527,3407
2025-01-03,Madhya Pradesh,Anuppur,2298,5334
2025-01-03,Madhya Pradesh,Ashok Nagar,4292,4547
2025-01-03,Madhya Pradesh,Balaghat,6402,8235
2025-01-03,Madhya Pradesh,Barwani,7982,9951
2025-01-03,Madhya Pradesh,Betul,3867,10755
2025-01-03,Madhya Pradesh,Bhind,4405,3388
2025-01-03,Madhya Pradesh,Bhopal,7463,9049
2025-01-03,Madhya Pradesh,Burhanpur,2197,3534
2025-01-03,Madhya Pradesh,Chhatarpur,9711,11673
2025-01-03,Madhya Pradesh,Chhindwara,3694,10171
2025-01-03,Madhya Pradesh,Damoh,7936,12055
2025-01-03,Madhya Pradesh,Datia,2230,2509
2025-01-03,Madhya Pradesh,Dewas,3249,6322
2025-01-03,Madhya Pradesh,Dhar,6968,9976
2025-01-03,Madhya Pradesh,Dindori,2267,4844
2025-01-03,Madhya Pradesh,East Nimar,886,3438
2025-01-03,Madhya Pradesh,Guna,8594,5775
2025-01-03,Madhya Pradesh,Gwalior,7276,7161
2025-01-03,Madhya Pradesh,Harda,2514,2489
2025-01-03,Madhya Pradesh,Harda *,193,933
2025-01-03,Madhya Pradesh,Hoshangabad,4135,6141
2025-01-03,Madhya Pradesh,Indore,11298,10515
2025-01-03,Madhya Pradesh,Jabalpur,6187,7925
2025-01-03,Madhya Pradesh,Jhabua,2387,6541
2025-01-03,Madhya Pradesh,Katni,3239,8903
2025-01-03,Madhya Pradesh,Khandwa,3295,2578
2025-01-03,Madhya Pradesh,Khargone,8855,11255
2025-01-03,Madhya Pradesh,Mandla,3181,4150
2025-01-03,Madhya Pradesh,Mandsaur,5021,6824
2025-01-03,Madhya Pradesh,Morena,13912,6993
2025-01-03,Madhya Pradesh,Narmadapuram,167,686
2025-01-03,Madhya Pradesh,Narsimhapur,135,552
2025-01-03,Madhya Pradesh,Narsinghpur,2155,2658
2025-01-03,Madhya Pradesh,Neemuch,2497,2092
2025-01-03,Madhya Pradesh,Niwari,158,132
2025-01-03,Madhya Pradesh,Panna,4877,8614
2025-01-03,Madhya Pradesh,Raisen,3285,5491
2025-01-03,Madhya Pradesh,Rajgarh,10071,14023
2025-01-03,Madhya Pradesh,Ratlam,4993,5623
2025-01-03,Madhya Pradesh,Rewa,13084,10964
2025-01-03,Madhya Pradesh,Sagar,10882,12949
2025-01-03,Madhya Pradesh,Satna,7162,11270
2025-01-03,Madhya Pradesh,Sehore,4438,8568
2025-01-03,Madhya Pradesh,Seoni,5711,5702
2025-01-03,Madhya Pradesh,Shahdol,3159,7894
2025-01-03,Madhya Pradesh,Shajapur,7862,8321
2025-01-03,Madhya Pradesh,Sheopur,3043,3816
2025-01-03,Madhya Pradesh,Shivpuri,9627,7104
2025-01-03,Madhya Pradesh,Sidhi,12873,7426
2025-01-03,Madhya Pradesh,Singrauli,9011,6282
2025-01-03,Madhya Pradesh,Tikamgarh,9269,13144
2025-01-03,Madhya Pradesh,Ujjain,5583,6762
2025-01-03,Madhya Pradesh,Umaria,1403,3187
2025-01-03,Madhya Pradesh,Vidisha,5177,5933
2025-01-03,Madhya Pradesh,West Nimar,259,763
2025-01-03,Maharashtra,Ahmadnagar,8342,22641
2025-01-03,Maharashtra,Ahmed Nagar,15,170
2025-01-03,Maharashtra,Akola,5799,19830
2025-01-03,Maharashtra,Amravati,9464,30849
2025-01-03,Maharashtra,Aurangabad,11805,21622
2025-01-03,Maharashtra,Beed,8159,16280
2025-01-03,Maharashtra,Bhandara,2521,8744
2025-01-03,Maharashtra,Bid,10,417
2025-01-03,Maharashtra,Buldana,127,3139
2025-01-03,Maharashtra,Buldhana,6763,13362
2025-01-03,Maharashtra,Chandrapur,7293,17284
2025-01-03,Maharashtra,Chatrapati Sambhaji Nagar,41,246
2025-01-03,Maharashtra,Chhatrapati Sambhajinagar,31,156
2025-01-03,Maharashtra,Dhule,5157,14043
2025-01-03,Maharashtra,Gadchiroli,2665,9929
2025-01-03,Maharashtra,Gondiya,4074,7263
2025-01-03,Maharashtra,Hingoli,2200,5880
2025-01-03,Maharashtra,Jalgaon,11108,29512
2025-01-03,Maharashtra,Jalna,5388,11402
2025-01-03,Maharashtra,Kolhapur,9588,18096
2025-01-03,Maharashtra,Latur,9558,19388
2025-01-03,Maharashtra,Mumbai,7636,31432
2025-01-03,Maharashtra,Mumbai City,1936,2517
2025-01-03,Maharashtra,Mumbai Suburban,7347,9473
2025-01-03,Maharashtra,Nagpur,11511,30242
2025-01-03,Maharashtra,Nanded,14793,23918
2025-01-03,Maharashtra,Nandurbar,5201,12240
2025-01-03,Maharashtra,Nashik,19311,43604
2025-01-03,Maharashtra,Osmanabad,7315,10669
2025-01-03,Maharashtra,Palghar,7288,7628
2025-01-03,Maharashtra,Parbhani,9812,10952
2025-01-03,Maharashtra,Pune,23546,42545
2025-01-03,Maharashtra,Raigad,254,1097
2025-01-03,Maharashtra,Raigarh,6311,8981
2025-01-03,Maharashtra,Ratnagiri,3235,8969
2025-01-03,Maharashtra,Sangli,9383,16901
2025-01-03,Maharashtra,Satara,8173,14177
2025-01-03,Maharashtra,Sindhudurg,1903,3624
2025-01-03,Maharashtra,Solapur,13276,22111
2025-01-03,Maharashtra,Thane,13203,38556
2025-01-03,Maharashtra,Wardha,4565,10487
2025-01-03,Maharashtra,Washim,4056,10181
2025-01-03,Maharashtra,Yavatmal,10207,28222
2025-01-03,Manipur,Bishnupur,524,607
2025-01-03,Manipur,Chandel,249,895
2025-01-03,Manipur,Churachandpur,796,866
2025-01-03,Manipur,Imphal East,1000,1623
2025-01-03,Manipur,Imphal West,906,1352
2025-01-03,Manipur,Jiribam,20,229
2025-01-03,Manipur,Kakching,49,30
2025-01-03,Manipur,Senapati,722,1183
2025-01-03,Manipur,Tamenglong,180,364
2025-01-03,Manipur,Thoubal,1039,1297
2025-01-03,Manipur,Ukhrul,376,1359
2025-01-03,Meghalaya,East Garo Hills,75,363
2025-01-03,Meghalaya,East Jaintia Hills,136,90
2025-01-03,Meghalaya,East Khasi Hills,840,1744
2025-01-03,Meghalaya,North Garo Hills,79,75
2025-01-03,Meghalaya,Ri Bhoi,213,213
2025-01-03,Meghalaya,South Garo Hills,44,92
2025-01-03,Meghalaya,South West Garo Hills,159,623
2025-01-03,Meghalaya,South West Khasi Hills,168,434
2025-01-03,Meghalaya,West Garo Hills,917,3902
2025-01-03,Meghalaya,West Jaintia Hills,596,335
2025-01-03,Meghalaya,West Khasi Hills,327,392
2025-01-03,Mizoram,Aizawl,12080,3703
2025-01-03,Mizoram,Champhai,6324,1528
2025-01-03,Mizoram,Kolasib,3984,962
2025-01-03,Mizoram,Lawngtlai,3058,915
2025-01-03,Mizoram,Lunglei,4383,1393
2025-01-03,Mizoram,Mamit,4019,633
2025-01-03,Mizoram,Mammit,903,417
2025-01-03,Mizoram,Saiha,2273,344
2025-01-03,Mizoram,Saitual,11,16
2025-01-03,Mizoram,Serchhip,3036,1087
2025-01-03,Nagaland,Dimapur,1135,2360
2025-01-03,Nagaland,Kiphire,173,388
2025-01-03,Nagaland,Kohima,298,1799
2025-01-03,Nagaland,Longleng,98,398
2025-01-03,Nagaland,Mokokchung,161,533
