state,district,enrolment_bin,lifecycle_typology,child_bio_engagement,adult_bio_engagement,adult_demo_engagement,lifecycle_gap_score
Andhra Pradesh,Kakinada,Low Enrolment,Healthy lifecycle engagement,168.0,312.8333333333333,1453.25,0
Andhra Pradesh,Karim Nagar,Low Enrolment,Healthy lifecycle engagement,81.66666666666667,,,0
Andhra Pradesh,Karimnagar,Low Enrolment,Healthy lifecycle engagement,61.8125,,,0
Andhra Pradesh,Khammam,Low Enrolment,Healthy lifecycle engagement,85.408,,,0
Andhra Pradesh,Krishna,Medium Enrolment,Healthy lifecycle engagement,589.09,4850.642857142857,4661.071428571428,0
Andhra Pradesh,Kurnool,High Enrolment,Healthy lifecycle engagement,638.7060702875399,10409.625,14033.125,0
Andhra Pradesh,Mahabub Nagar,Medium Enrolment,Mixed or transitional pattern,3.2974683544303796,,,1
Andhra Pradesh,Mahbubnagar,Low Enrolment,Healthy lifecycle engagement,32.149253731343286,,,0
Andhra Pradesh,Medak,Low Enrolment,Healthy lifecycle engagement,52.54430379746835,,,0
Andhra Pradesh,N. T. R,Low Enrolment,Healthy lifecycle engagement,148.6,332.2352941176471,1435.5294117647059,0
Andhra Pradesh,Nalgonda,Low Enrolment,Healthy lifecycle engagement,40.229166666666664,,,0
Andhra Pradesh,Nandyal,Low Enrolment,Healthy lifecycle engagement,361.0,1134.3333333333333,5979.333333333333,0
Andhra Pradesh,Nellore,Medium Enrolment,Healthy lifecycle engagement,296.32462686567163,46735.0,36051.0,0
Andhra Pradesh,Nizamabad,Low Enrolment,Healthy lifecycle engagement,72.90322580645162,,,0
Andhra Pradesh,Palnadu,Low Enrolment,Healthy lifecycle engagement,144.66666666666666,333.4,1640.0,0
Andhra Pradesh,Parvathipuram Manyam,Low Enrolment,Healthy lifecycle engagement,326.6923076923077,4419.0,5081.0,0
Andhra Pradesh,Prakasam,High Enrolment,Healthy lifecycle engagement,210.92022263450835,1157.1176470588234,1318.4313725490197,0
Andhra Pradesh,Rangareddi,Medium Enrolment,Healthy lifecycle engagement,65.35862068965517,,,0
Andhra Pradesh,Sri Potti Sriramulu Nellore,Medium Enrolment,"Child engagement strong, adult drop-off",21.30593607305936,22.568,99.6,1
Andhra Pradesh,Sri Sathya Sai,Low Enrolment,Healthy lifecycle engagement,406.54545454545456,1203.3333333333333,4107.0,0
Andhra Pradesh,Srikakulam,Medium Enrolment,Healthy lifecycle engagement,2392.720930232558,13195.75,20715.5,0
Andhra Pradesh,Tirupati,Low Enrolment,Healthy lifecycle engagement,23.971264367816094,59.646153846153844,319.7846153846154,0
Andhra Pradesh,Visakhapatnam,Medium Enrolment,Healthy lifecycle engagement,999.2901234567901,11768.875,12174.125,0
Andhra Pradesh,Vizianagaram,Medium Enrolment,Healthy lifecycle engagement,1599.686274509804,45328.0,46549.0,0
Andhra Pradesh,Warangal,Low Enrolment,Healthy lifecycle engagement,123.625,,,0
Andhra Pradesh,West Godavari,Medium Enrolment,Healthy lifecycle engagement,1125.8061224489795,16074.0,19528.75,0
Andhra Pradesh,Y. S. R,Low Enrolment,Healthy lifecycle engagement,162.95833333333334,233.58333333333334,1498.0,0
Arunachal Pradesh,Anjaw,Low Enrolment,Healthy lifecycle engagement,180.66666666666666,,,0
Arunachal Pradesh,Changlang,Low Enrolment,Healthy lifecycle engagement,35.91269841269841,738.6666666666666,1148.6666666666667,0
Arunachal Pradesh,Dibang Valley,Low Enrolment,Healthy lifecycle engagement,212.0,,,0
Arunachal Pradesh,East Kameng,Low Enrolment,Healthy lifecycle engagement,75.70370370370371,1277.0,613.0,0
Arunachal Pradesh,East Siang,Low Enrolment,Healthy lifecycle engagement,60.03846153846154,,,0
Arunachal Pradesh,Kamle,Low Enrolment,"Low enrolment, weak engagement",3.1333333333333333,,,1
Arunachal Pradesh,Kra Daadi,Low Enrolment,Healthy lifecycle engagement,42.714285714285715,,,0
Arunachal Pradesh,Kurung Kumey,Low Enrolment,Healthy lifecycle engagement,61.333333333333336,,,0
Arunachal Pradesh,Leparada,Low Enrolment,Healthy lifecycle engagement,15.0,,,0
Arunachal Pradesh,Lohit,Low Enrolment,Healthy lifecycle engagement,56.69565217391305,,,0
Arunachal Pradesh,Longding,Medium Enrolment,Mixed or transitional pattern,2.332706766917293,23.27027027027027,21.594594594594593,3
Arunachal Pradesh,Lower Dibang Valley,Low Enrolment,Healthy lifecycle engagement,43.78947368421053,,,0
Arunachal Pradesh,Lower Siang,Low Enrolment,Healthy lifecycle engagement,23.0,,,0
Arunachal Pradesh,Lower Subansiri,Low Enrolment,Healthy lifecycle engagement,50.90909090909091,,,0
Arunachal Pradesh,Namsai,Low Enrolment,Healthy lifecycle engagement,134.6818181818182,,,0
Arunachal Pradesh,Papum Pare,Low Enrolment,Healthy lifecycle engagement,45.743589743589745,,,0
Arunachal Pradesh,Shi-yomi,Low Enrolment,Healthy lifecycle engagement,14.7,,,0
Arunachal Pradesh,Siang,Low Enrolment,Healthy lifecycle engagement,51.666666666666664,,,0
Arunachal Pradesh,Tawang,Low Enrolment,Healthy lifecycle engagement,111.3,,,0
Arunachal Pradesh,Tirap,Low Enrolment,Healthy lifecycle engagement,47.266666666666666,,,0
Arunachal Pradesh,Upper Siang,Low Enrolment,Healthy lifecycle engagement,104.875,,,0
Arunachal Pradesh,Upper Subansiri,Low Enrolment,Healthy lifecycle engagement,102.6842105263158,748.0,412.0,0
Arunachal Pradesh,West Kameng,Low Enrolment,Healthy lifecycle engagement,34.868852459016395,232.58333333333334,58.25,0
Arunachal Pradesh,West Siang,Low Enrolment,Healthy lifecycle engagement,70.97222222222223,,,0
Assam,Bajali,Low Enrolment,"Low enrolment, weak engagement",1.3333333333333333,4.5,193.0,2
Assam,Baksa,Medium Enrolment,"Child engagement strong, adult drop-off",12.142312579415503,13.34909090909091,34.269090909090906,2
Assam,Barpeta,High Enrolment,"High enrolment, weak engagement",22.710550887021476,37.18410041841004,67.90167364016736,1
Assam,Biswanath,Medium Enrolment,Healthy lifecycle engagement,19.09961685823755,57.333333333333336,164.77777777777777,0
Assam,Bongaigaon,Medium Enrolment,Healthy lifecycle engagement,52.326470588235296,67.25,225.9051724137931,0
Assam,Cachar,High Enrolment,"High enrolment, weak engagement",10.00473036896878,15.570119156736938,25.60403299725023,2
Assam,Charaideo,Medium Enrolment,"Child engagement strong, adult drop-off",28.3109756097561,9.040229885057471,30.14367816091954,2
Assam,Chirang,Medium Enrolment,"Child engagement strong, adult drop-off",18.618403247631935,23.75862068965517,26.96551724137931,2
Assam,Darrang,High Enrolment,"High enrolment, weak engagement",13.075531914893617,7.836506159014558,15.669652855543113,2
Assam,Dhemaji,High Enrolment,"High enrolment, weak engagement",6.97877179681577,6.12396694214876,13.835891381345927,2
Assam,Dhubri,High Enrolment,Healthy lifecycle engagement,15.99754058042302,87.92857142857143,311.12142857142857,0
Assam,Dibrugarh,High Enrolment,"High enrolment, weak engagement",10.625212947189096,8.619765494137354,11.364321608040202,2
Assam,Dima Hasao,Low Enrolment,"Low enrolment, weak engagement",0.05747126436781609,0.2916666666666667,5.708333333333333,3
Assam,Goalpara,High Enrolment,"High enrolment, weak engagement",7.342964824120603,10.012102874432678,35.239031770045386,2
Assam,Golaghat,High Enrolment,"High enrolment, weak engagement",2.678336325553561,3.450314465408805,10.123899371069182,3
Assam,Hailakandi,High Enrolment,"High enrolment, weak engagement",13.344322344322345,28.012738853503183,60.05095541401274,1
Assam,Hojai,High Enrolment,Healthy lifecycle engagement,11.224242424242425,67.94029850746269,103.73880597014926,0
Assam,Jorhat,High Enrolment,"High enrolment, weak engagement",10.120596205962059,5.827956989247312,16.28110599078341,2
Assam,Kamrup,High Enrolment,"High enrolment, weak engagement",10.129263157894737,12.122116689280869,30.89009497964722,2
Assam,Kamrup Metro,High Enrolment,"High enrolment, weak engagement",9.212145110410095,15.399361022364218,22.856230031948883,2
Assam,Karbi Anglong,High Enrolment,"High enrolment, weak engagement",5.945580371185907,11.982826948480845,18.033025099075296,3
Assam,Karimganj,High Enrolment,"High enrolment, weak engagement",5.369287634408602,12.91304347826087,31.95130434782609,3
Assam,Kokrajhar,High Enrolment,"High enrolment, weak engagement",15.49949849548646,23.38245614035088,41.62456140350877,1
Assam,Lakhimpur,High Enrolment,"High enrolment, weak engagement",11.104477611940299,16.091476091476093,39.74636174636175,1
Assam,Majuli,Low Enrolment,Healthy lifecycle engagement,18.81,74.81818181818181,136.63636363636363,0
Assam,Marigaon,High Enrolment,"High enrolment, weak engagement",7.590775269872424,20.286666666666665,50.44,1
Assam,Nagaon,High Enrolment,Healthy lifecycle engagement,15.688128772635816,196.65145228215766,206.448132780083,0
Assam,Nalbari,Medium Enrolment,"Child engagement strong, adult drop-off",25.08515283842795,21.924137931034483,76.55862068965517,1
Assam,North Cachar Hills,Medium Enrolment,"Child engagement strong, adult drop-off",6.390845070422535,8.035714285714286,14.428571428571429,2
Assam,Sibsagar,Medium Enrolment,"Child engagement strong, adult drop-off",23.423791821561338,4.995584988962473,13.066225165562914,2
Assam,Sonitpur,High Enrolment,"High enrolment, weak engagement",8.894352159468438,28.39455782312925,78.52380952380952,1
Assam,South Salmara Mankachar,Medium Enrolment,"Child engagement strong, adult drop-off",9.83732057416268,36.8125,438.90625,1
Assam,Sribhumi,Low Enrolment,"Low enrolment, weak engagement",1.1333333333333333,,,1
Assam,Tamulpur District,Low Enrolment,"Low enrolment, weak engagement",0.4666666666666667,,,1
Assam,Tinsukia,High Enrolment,"High enrolment, weak engagement",5.282390269698572,5.257761053621825,16.16745061147695,3
Assam,Udalguri,High Enrolment,"High enrolment, weak engagement",13.697164948453608,11.1010101010101,21.452525252525252,2
Assam,West Karbi Anglong,Medium Enrolment,Mixed or transitional pattern,0.858902575587906,3.3536585365853657,1.8048780487804879,3
Bihar,Araria,High Enrolment,Healthy lifecycle engagement,26.623219680621492,1023.060606060606,1327.2272727272727,0
Bihar,Arwal,Medium Enrolment,Healthy lifecycle engagement,7.026785714285714,670.1739130434783,660.3913043478261,0
Bihar,Aurangabad,High Enrolment,Healthy lifecycle engagement,15.323859087269815,6730.333333333333,9630.333333333334,0
Bihar,Aurangabad(BH),Low Enrolment,"Low enrolment, weak engagement",0.0,,,1
Bihar,Aurangabad(bh),Low Enrolment,"Low enrolment, weak engagement",1.0,,,1
Bihar,Banka,High Enrolment,Healthy lifecycle engagement,19.395709721588315,779.7254901960785,1111.235294117647,0
Bihar,Begusarai,High Enrolment,Healthy lifecycle engagement,35.4535487593768,2374.769230769231,2766.1153846153848,0
Bihar,Bhabua,Low Enrolment,"Low enrolment, weak engagement",0.1111111111111111,,,1
Bihar,Bhagalpur,High Enrolment,Healthy lifecycle engagement,9.329164124466137,205.0299003322259,291.0598006644518,0
Bihar,Bhojpur,High Enrolment,Healthy lifecycle engagement,9.384615384615385,1392.235294117647,2441.970588235294,0
Bihar,Buxar,Medium Enrolment,Healthy lifecycle engagement,15.430503380916605,1851.0714285714287,2781.6428571428573,0
Bihar,Darbhanga,High Enrolment,Healthy lifecycle engagement,38.11116504854369,3645.3076923076924,3262.346153846154,0
Bihar,East Champaran,High Enrolment,Healthy lifecycle engagement,8.235007115267331,192.2741935483871,266.7318548387097,0
Bihar,Gaya,High Enrolment,Healthy lifecycle engagement,6.5671340929009645,316.9503816793893,418.4618320610687,0
Bihar,Gopalganj,High Enrolment,Healthy lifecycle engagement,7.256017505470459,319.53472222222223,391.9166666666667,0
Bihar,Jamui,High Enrolment,Healthy lifecycle engagement,13.544440312383786,344.23809523809524,444.48809523809524,0
Bihar,Jehanabad,Medium Enrolment,Healthy lifecycle engagement,8.632760898282696,238.22972972972974,350.68918918918916,0
Bihar,Kaimur (Bhabua),High Enrolment,Healthy lifecycle engagement,11.336458708979444,549.7213114754098,573.016393442623,0
Bihar,Katihar,High Enrolment,Healthy lifecycle engagement,38.65825151940159,1303.3287671232877,1413.5068493150684,0
Bihar,Khagaria,Medium Enrolment,Healthy lifecycle engagement,25.211067193675888,1163.5862068965516,1391.344827586207,0
Bihar,Kishanganj,High Enrolment,Healthy lifecycle engagement,72.64471403812826,7514.222222222223,10175.777777777777,0
Bihar,Lakhisarai,High Enrolment,Healthy lifecycle engagement,8.795169530887135,470.95652173913044,574.0434782608696,0
Bihar,Madhepura,High Enrolment,Healthy lifecycle engagement,30.489122807017544,5917.666666666667,5491.0,0
Bihar,Madhubani,High Enrolment,Healthy lifecycle engagement,13.45863230341192,191.55615942028984,188.9746376811594,0
Bihar,Monghyr,Low Enrolment,"Low enrolment, weak engagement",0.14285714285714285,,,1
Bihar,Munger,High Enrolment,Healthy lifecycle engagement,9.906113537117903,325.3013698630137,441.6986301369863,0
Bihar,Muzaffarpur,High Enrolment,Healthy lifecycle engagement,9.154973459496885,224.11483253588517,270.1794258373206,0
Bihar,Nalanda,High Enrolment,Healthy lifecycle engagement,7.773936170212766,601.6521739130435,976.195652173913,0
Bihar,Nawada,High Enrolment,"High enrolment, weak engagement",5.414513740332401,237.33333333333334,278.4404761904762,1
Bihar,Pashchim Champaran,High Enrolment,"High enrolment, weak engagement",0.002259461495010356,0.33515482695810567,0.8907103825136612,3
Bihar,Patna,High Enrolment,Healthy lifecycle engagement,8.811109881597876,189.0891089108911,254.86336633663367,0
Bihar,Purba Champaran,Low Enrolment,"Low enrolment, weak engagement",0.375,,,1
Bihar,Purnea,Low Enrolment,Healthy lifecycle engagement,21.166666666666668,,,0
Bihar,Purnia,High Enrolment,Healthy lifecycle engagement,25.333333333333332,758.0751879699249,560.9248120300751,0
Bihar,Rohtas,High Enrolment,Healthy lifecycle engagement,24.811672683513837,5548.222222222223,6745.666666666667,0
Bihar,Saharsa,High Enrolment,Healthy lifecycle engagement,11.038713705900719,491.85714285714283,371.37301587301585,0
Bihar,Samastipur,High Enrolment,Healthy lifecycle engagement,28.58351254480287,1925.108695652174,2513.0434782608695,0
Bihar,Samstipur,Low Enrolment,"Low enrolment, weak engagement",0.5625,,,1
Bihar,Saran,High Enrolment,Healthy lifecycle engagement,7.531107515811149,550.528,753.816,0
Bihar,Sheikhpura,Medium Enrolment,Healthy lifecycle engagement,22.780405405405407,1891.6,1457.6,0
Bihar,Sheikpura,Low Enrolment,"Low enrolment, weak engagement",0.5,,,1
Bihar,Sheohar,Medium Enrolment,Healthy lifecycle engagement,30.325,2689.8333333333335,2888.5,0
Bihar,Sitamarhi,High Enrolment,"High enrolment, weak engagement",5.048890454385347,34.6671012603216,42.69274228596262,2
Bihar,Siwan,High Enrolment,Healthy lifecycle engagement,11.534427966101696,782.8378378378378,875.2297297297297,0
Bihar,Supaul,High Enrolment,Healthy lifecycle engagement,27.483154121863798,1042.6078431372548,1256.6078431372548,0
Bihar,Vaishali,High Enrolment,Healthy lifecycle engagement,17.869253731343285,5263.133333333333,5851.666666666667,0
Bihar,West Champaran,High Enrolment,Healthy lifecycle engagement,5.987022974142074,156.25423728813558,262.1906779661017,0
Chandigarh,Chandigarh,Medium Enrolment,Healthy lifecycle engagement,583.7012987012987,1191.0555555555557,3118.6666666666665,0
Chhattisgarh,Balod,Medium Enrolment,Healthy lifecycle engagement,680.7037037037037,45068.0,39395.0,0
Chhattisgarh,Baloda Bazar,Medium Enrolment,Healthy lifecycle engagement,180.19306930693068,3654.6,3663.65,0
Chhattisgarh,Balrampur,High Enrolment,Healthy lifecycle engagement,13.176216216216217,396.1940298507463,654.2985074626865,0
Chhattisgarh,Bastar,Medium Enrolment,Healthy lifecycle engagement,38.37938144329897,13127.5,10733.75,0
Chhattisgarh,Bemetara,Medium Enrolment,Healthy lifecycle engagement,225.58490566037736,21543.333333333332,12505.333333333334,0
Chhattisgarh,Bijapur,High Enrolment,"High enrolment, weak engagement",7.071490845684394,14.738121546961326,7.816574585635359,2
Chhattisgarh,Bilaspur,High Enrolment,Healthy lifecycle engagement,59.47652916073969,8075.153846153846,7824.0,0
Chhattisgarh,Dakshin Bastar Dantewada,Low Enrolment,Healthy lifecycle engagement,126.26086956521739,2220.4285714285716,321.57142857142856,0
Chhattisgarh,Dantewada,Low Enrolment,Healthy lifecycle engagement,61.44444444444444,,,0
Chhattisgarh,Dhamtari,Medium Enrolment,Healthy lifecycle engagement,819.5714285714286,52935.0,29488.0,0
Chhattisgarh,Durg,Medium Enrolment,Healthy lifecycle engagement,200.85977859778598,2186.475,1170.0,0
Chhattisgarh,Gariyaband,Low Enrolment,Healthy lifecycle engagement,151.73611111111111,,,0
Chhattisgarh,Gaurela-pendra-marwahi,Low Enrolment,Healthy lifecycle engagement,94.2,,,0
Chhattisgarh,Janjgir Champa,Low Enrolment,Healthy lifecycle engagement,12.0,,,0
Chhattisgarh,Janjgir-champa,Medium Enrolment,Healthy lifecycle engagement,156.7536231884058,103208.0,72498.0,0
Chhattisgarh,Jashpur,Medium Enrolment,Healthy lifecycle engagement,72.93559322033899,,,0
Chhattisgarh,Kabeerdham,Low Enrolment,Healthy lifecycle engagement,434.4,4434.0,6191.666666666667,0
Chhattisgarh,Kanker,Low Enrolment,Healthy lifecycle engagement,148.91954022988506,27283.0,14343.0,0
Chhattisgarh,Kawardha,Medium Enrolment,Healthy lifecycle engagement,193.05882352941177,,,0
Chhattisgarh,Khairagarh Chhuikhadan Gandai,Low Enrolment,Healthy lifecycle engagement,6.705882352941177,,,0
Chhattisgarh,Kondagaon,Medium Enrolment,Healthy lifecycle engagement,40.78445229681979,32543.0,43422.0,0
Chhattisgarh,Korba,Medium Enrolment,Healthy lifecycle engagement,151.1304347826087,18436.0,19623.333333333332,0
Chhattisgarh,Koriya,Medium Enrolment,Healthy lifecycle engagement,73.76704545454545,34243.0,18010.0,0
Chhattisgarh,Mahasamund,Medium Enrolment,Healthy lifecycle engagement,118.97674418604652,29537.0,52702.5,0
Chhattisgarh,Manendragarh–Chirmiri–Bharatpur,Low Enrolment,"Low enrolment, weak engagement",0.6388888888888888,,,1
Chhattisgarh,Mohalla-Manpur-Ambagarh Chowki,Low Enrolment,Healthy lifecycle engagement,12.0,,,0
Chhattisgarh,Mohla-Manpur-Ambagarh Chouki,Low Enrolment,Healthy lifecycle engagement,35.24,1652.5,5031.0,0
Chhattisgarh,Mungeli,Medium Enrolment,Healthy lifecycle engagement,151.7704918032787,21224.0,25228.5,0
Chhattisgarh,Narayanpur,Low Enrolment,Healthy lifecycle engagement,57.27368421052632,,,0
Chhattisgarh,Raigarh,High Enrolment,Healthy lifecycle engagement,85.14563106796116,4261.875,1996.5,0
Chhattisgarh,Raipur,High Enrolment,Healthy lifecycle engagement,124.55016181229773,8289.846153846154,7258.461538461538,0
Chhattisgarh,Rajnandgaon,Medium Enrolment,Healthy lifecycle engagement,270.43283582089555,42877.0,54266.5,0
Chhattisgarh,Sakti,Low Enrolment,Healthy lifecycle engagement,17.766666666666666,1521.0,2233.0,0
Chhattisgarh,Sarangarh-Bilaigarh,Low Enrolment,Healthy lifecycle engagement,6.0,518.0,3338.0,0
Chhattisgarh,Sukma,Medium Enrolment,Healthy lifecycle engagement,23.45813953488372,119.45794392523365,53.06542056074766,0
Chhattisgarh,Surajpur,Medium Enrolment,Healthy lifecycle engagement,72.475935828877,12556.666666666666,8018.333333333333,0
Chhattisgarh,Surguja,Medium Enrolment,Healthy lifecycle engagement,79.73245614035088,42350.0,75702.0,0
Chhattisgarh,Uttar Bastar Kanker,Low Enrolment,Healthy lifecycle engagement,118.0,,,0
Dadra & Nagar Haveli,Dadra & Nagar Haveli,Low Enrolment,Healthy lifecycle engagement,27.5,,,0
Dadra and Nagar Haveli,Dadra and Nagar Haveli,Low Enrolment,Healthy lifecycle engagement,376.0,6720.5,1508.5,0
Dadra and Nagar Haveli and Daman and Diu,Dadra and Nagar Haveli,Low Enrolment,Healthy lifecycle engagement,69.85714285714286,655.5,360.5,0
Dadra and Nagar Haveli and Daman and Diu,Daman,Low Enrolment,Healthy lifecycle engagement,90.5,291.0,988.0,0
Dadra and Nagar Haveli and Daman and Diu,Diu,Low Enrolment,"Low enrolment, weak engagement",2.0,5.5,108.0,2
Daman and Diu,Daman,Low Enrolment,Healthy lifecycle engagement,374.0,,,0
Daman and Diu,Diu,Low Enrolment,Healthy lifecycle engagement,1404.0,,,0
Delhi,Central Delhi,High Enrolment,Healthy lifecycle engagement,28.55152394775036,217.61666666666667,301.625,0
Delhi,East Delhi,High Enrolment,Healthy lifecycle engagement,25.623556581986143,326.8360655737705,767.8633879781421,0
Delhi,Najafgarh,Low Enrolment,Healthy lifecycle engagement,14.333333333333334,,,0
Delhi,New Delhi,Medium Enrolment,Mixed or transitional pattern,4.370689655172414,8.339712918660288,12.090909090909092,3
Delhi,North Delhi,Medium Enrolment,Healthy lifecycle engagement,26.452229299363058,511.98275862068965,1161.1379310344828,0
Delhi,North East,Medium Enrolment,Healthy lifecycle engagement,14.764705882352942,39058.0,6851.0,0
Delhi,North East Delhi,High Enrolment,Healthy lifecycle engagement,23.51491424310216,1230.0666666666666,2183.6222222222223,0
Delhi,North West Delhi,High Enrolment,Healthy lifecycle engagement,61.014301430143014,752.8063063063063,1047.6981981981983,0
Delhi,Shahdara,Medium Enrolment,Mixed or transitional pattern,5.433566433566433,88.01886792452831,378.60377358490564,1
Delhi,South Delhi,High Enrolment,Healthy lifecycle engagement,55.35738597685501,372.3400673400673,538.6565656565657,0
Delhi,South East Delhi,Low Enrolment,Healthy lifecycle engagement,43.4,,,0
Delhi,South West Delhi,High Enrolment,Healthy lifecycle engagement,48.23318777292577,267.2090163934426,504.9549180327869,0
Delhi,West Delhi,High Enrolment,Healthy lifecycle engagement,17.409907300115876,101.86067415730336,198.9303370786517,0
Goa,North Goa,Low Enrolment,Healthy lifecycle engagement,204.84615384615384,487.5151515151515,304.24242424242425,0
Goa,South Goa,Low Enrolment,Healthy lifecycle engagement,254.0204081632653,575.0909090909091,377.6363636363636,0
Gujarat,Ahmadabad,High Enrolment,"High enrolment, weak engagement",0.3350300786672837,45.895833333333336,14.025,2
Gujarat,Ahmedabad,High Enrolment,Healthy lifecycle engagement,55.758882235528944,799.6124031007752,657.3294573643411,0
Gujarat,Amreli,Medium Enrolment,Healthy lifecycle engagement,94.48064516129033,194.32450331125827,105.08609271523179,0
Gujarat,Anand,High Enrolment,Healthy lifecycle engagement,94.94736842105263,181.7070707070707,76.58249158249158,0
Gujarat,Arvalli,Medium Enrolment,Healthy lifecycle engagement,78.14146341463415,120.61643835616438,49.57534246575342,0
Gujarat,Banas Kantha,High Enrolment,"High enrolment, weak engagement",0.005100463678516229,0.4925864909390445,0.29983525535420097,3
Gujarat,Banaskantha,High Enrolment,Mixed or transitional pattern,18.463870177587264,48.33232628398792,31.42069486404834,1
Gujarat,Bharuch,Medium Enrolment,Healthy lifecycle engagement,131.3723849372385,505.1875,482.78125,0
Gujarat,Bhavnagar,High Enrolment,Healthy lifecycle engagement,68.71428571428571,230.59717314487634,118.63957597173145,0
Gujarat,Botad,Medium Enrolment,Healthy lifecycle engagement,23.37270341207349,53.145833333333336,39.96875,0
Gujarat,Chhotaudepur,High Enrolment,"High enrolment, weak engagement",14.333333333333334,25.635658914728683,9.823643410852712,2
Gujarat,Dahod,High Enrolment,Mixed or transitional pattern,21.200321156162182,41.13501742160279,18.524390243902438,1
Gujarat,Devbhumi Dwarka,Medium Enrolment,Mixed or transitional pattern,48.78947368421053,42.77707006369427,22.121019108280255,1
Gujarat,Dohad,High Enrolment,"High enrolment, weak engagement",0.277232013868824,18.089030206677265,4.588235294117647,3
Gujarat,Gandhinagar,High Enrolment,Healthy lifecycle engagement,59.62903225806452,70.55597722960152,84.38519924098672,0
Gujarat,Gir Somnath,High Enrolment,Mixed or transitional pattern,24.656498673740053,38.358620689655176,20.520689655172415,1
Gujarat,Jamnagar,High Enrolment,Healthy lifecycle engagement,71.72164948453609,178.703125,138.11979166666666,0
Gujarat,Junagadh,Medium Enrolment,Healthy lifecycle engagement,118.85652173913043,844.8695652173913,306.3188405797101,0
Gujarat,Kachchh,High Enrolment,Healthy lifecycle engagement,34.37683715461493,150.453125,129.83125,0
Gujarat,Kheda,High Enrolment,Healthy lifecycle engagement,69.6461038961039,174.36697247706422,94.67278287461774,0
Gujarat,Mahesana,High Enrolment,Healthy lifecycle engagement,69.56439393939394,271.73595505617976,169.95505617977528,0
Gujarat,Mahisagar,Medium Enrolment,Healthy lifecycle engagement,53.329787234042556,128.45882352941177,46.28235294117647,0
Gujarat,Morbi,High Enrolment,"High enrolment, weak engagement",11.785804816223067,17.73767258382643,25.384615384615383,2
Gujarat,Narmada,Low Enrolment,Healthy lifecycle engagement,420.875,1733.8333333333333,719.8333333333334,0
Gujarat,Navsari,Medium Enrolment,Healthy lifecycle engagement,172.89565217391305,240.26666666666668,209.73333333333332,0
Gujarat,Panch Mahals,Medium Enrolment,Mixed or transitional pattern,0.02981651376146789,1.56,1.99,3
Gujarat,Panchmahals,High Enrolment,Healthy lifecycle engagement,58.42830540037244,188.71180555555554,61.670138888888886,0
Gujarat,Patan,High Enrolment,Mixed or transitional pattern,17.212103746397695,57.479789103690685,28.729349736379614,1
Gujarat,Porbandar,Medium Enrolment,Healthy lifecycle engagement,51.00813008130081,106.66666666666667,56.369565217391305,0
Gujarat,Rajkot,High Enrolment,Healthy lifecycle engagement,24.809282088469907,101.96791443850267,129.69786096256684,0
Gujarat,Sabar Kantha,Medium Enrolment,Mixed or transitional pattern,0.024534686971235193,1.7770700636942676,1.4267515923566878,3
